#{"t_start": 1572453377.7795303, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1028,227.988719
-21.0,824,448.169258
-20.0,910,670.875012
-21.0,822,886.032852
-21.0,819,1104.759375
-20.0,887,1332.582998
-20.0,957,1552.535628
-19.0,973,1778.903466
-20.0,1057,1999.807113
-19.0,973,2225.657674
-18.0,1167,2458.445221
-19.0,1117,2685.454099
-19.0,1643,2957.597235
-18.0,1850,3242.366646
-11.0,2068,3537.047704
-20.0,1741,3796.505966
-19.0,1775,4082.360008
-4.0,3194,4452.376265
-4.0,2812,4783.417278
1.0,3135,5109.293801
