#{"t_start": 1572453377.8078237, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,948,222.512325
-21.0,779,445.714622
-19.0,1111,681.012915
-19.0,1013,895.473358
-20.0,869,1106.760118
-21.0,785,1326.060834
-19.0,936,1551.443577
-20.0,1014,1781.632255
-19.0,1041,1998.980554
-21.0,1021,2227.712552
-21.0,898,2444.501991
-20.0,1274,2693.43777
-21.0,1234,2938.07186
-18.0,1724,3235.141205
-13.0,1899,3529.606109
-18.0,1975,3808.335928
-15.0,2160,4105.062546
-9.0,2758,4428.261455
15.0,1852,4733.900843
-11.0,2054,5052.024409
