#{"t_start": 1572453377.2382693, "env_id": "PongNoFrameskip-v4"}
r,l,t
-18.0,1255,242.193199
-21.0,883,451.631364
-20.0,897,670.789132
-19.0,953,893.028459
-20.0,929,1110.357038
-21.0,807,1328.117578
-21.0,880,1548.741172
-21.0,850,1772.487203
-21.0,912,1993.331922
-21.0,869,2220.011652
-19.0,1077,2453.618845
-20.0,1033,2681.718646
-19.0,1428,2947.955384
-16.0,1749,3237.154974
-19.0,1507,3507.871117
-15.0,1951,3807.667414
-19.0,1730,4080.468977
-6.0,3139,4449.786816
6.0,2646,4775.974601
16.0,1945,5047.297578
69,283.7805
-21.0,837,298.289478
-21.0,822,309.370218
-21.0,786,316.255229
-21.0,910,324.248369
-20.0,861,331.908998
-21.0,851,339.267008
-20.0,838,353.410505
-21.0,851,363.660041
-20.0,924,371.867114
-20.0,836,379.302826
-21.0,961,387.685249
-21.0,873,395.375019
-21.0,820,407.332906
-20.0,834,469.122609
-20.0,902,485.305458
-21.0,867,492.799393
-21.0,839,500.187868
-21.0,866,507.862352
-20.0,949,516.123711
-20.0,1023,525.103685
-20.0,903,536.944293
-21.0,798,549.485838
-21.0,821,556.780468
-21.0,884,564.61729
-21.0,822,571.769445
-19.0,957,581.185646
-20.0,935,596.067641
-20.0,920,605.098949
-21.0,781,611.977692
-21.0,789,619.058382
-20.0,863,626.73863
-20.0,891,693.70435
-21.0,867,701.197556
-20.0,898,709.189069
-19.0,1037,723.550601
-20.0,839,737.026296
-21.0,845,744.538144
-21.0,818,751.745128
-21.0,954,760.180197
-19.0,917,768.239884
-19.0,959,779.422413
-21.0,881,793.834697
-21.0,820,800.896459
-17.0,1282,812.306527
-21.0,1021,821.226299
-21.0,907,829.196347
-20.0,870,838.670493
-20.0,898,846.629057
-20.0,931,910.819108
-19.0,1024,919.868199
-21.0,851,929.991816
-21.0,866,943.306238
-21.0,1028,954.30432
-20.0,911,962.274544
-20.0,875,969.998921
-21.0,850,977.554655
-17.0,1191,988.063433
-20.0,925,999.924099
-21.0,1000,1013.522151
-20.0,859,1021.118867
-19.0,1019,1029.943621
-21.0,880,1037.499694
-21.0,778,1046.181986
-21.0,879,1059.556983
-21.0,823,1068.611548
-20.0,1025,1139.162694
-20.0,1006,1147.925618
-21.0,945,1156.220163
-20.0,865,1163.876422
-21.0,779,1170.552963
-19.0,1038,1179.609916
-19.0,1078,1189.523582
-20.0,837,1198.205759
-20.0,868,1208.813739
-19.0,1089,1224.968504
-20.0,1109,1234.654121
-21.0,818,1241.938549
-17.0,1143,1251.88912
-18.0,1068,1261.985272
-19.0,935,1277.298081
-21.0,940,1287.976823
-21.0,779,1355.049878
-21.0,823,1362.22006
-19.0,1073,1371.579861
-20.0,975,1380.163974
-18.0,1437,1396.657568
-21.0,1001,1410.216778
-21.0,873,1417.794856
-19.0,1065,1427.115303
-21.0,930,1437.181308
-20.0,870,1444.897567
-20.0,876,1454.089047
-21.0,877,1465.399484
-21.0,851,1476.514084
-20.0,987,1485.086903
-20.0,982,1495.566789
-21.0,975,1505.112569
-18.0,1257,1583.586049
-20.0,1113,1595.296562
