#{"t_start": 1572453377.7623782, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1156,236.23791
-21.0,838,448.964639
-20.0,998,675.414129
-21.0,818,885.777558
-21.0,763,1102.582631
-20.0,1048,1340.53659
-21.0,783,1542.795309
-20.0,840,1771.576515
-21.0,940,1994.027765
-19.0,994,2226.612486
-19.0,1263,2463.812136
-19.0,1102,2684.52791
-19.0,1285,2940.637066
-16.0,1992,3250.527336
-18.0,1896,3529.491272
-14.0,2208,3820.935094
-16.0,2070,4100.51767
-10.0,2890,4435.368921
10.0,2339,4761.220392
-15.0,1764,5038.027157
