total_timesteps,explained_variance,fps,nupdates,policy_entropy,value_loss,ep_reward_mean,ep_len_mean
328000,0.4190260171890259,1142,4100,1.7704131603240967,0.08182495832443237,-20.44,899.19
336000,0.4513402581214905,1143,4200,1.7828662395477295,0.026901599019765854,-20.36,916.96
344000,0.6502402424812317,1144,4300,1.7797571420669556,0.025237128138542175,-20.27,928.73
352000,0.7950722277164459,1145,4400,1.7761729955673218,0.005178050138056278,-20.31,928.37
360000,0.9225059747695923,1147,4500,1.736411690711975,0.00831757765263319,-20.28,930.06
368000,0.8733614683151245,1148,4600,1.7585279941558838,0.01657077483832836,-20.28,935.72
376000,0.9000314027070999,1149,4700,1.7645881175994873,0.017701096832752228,-20.28,931.28
384000,0.7842827141284943,1149,4800,1.7527437210083008,0.05106630176305771,-20.27,934.52
392000,0.9308725446462631,1150,4900,1.7738697528839111,0.01993625797331333,-20.27,927.37
400000,0.6370083093643188,1150,5000,1.7766048908233643,0.039371050894260406,-20.21,933.62
408000,0.8713778406381607,1151,5100,1.776261568069458,0.019854681566357613,-20.22,932.65
416000,0.7176981866359711,1152,5200,1.782207727432251,0.012016912922263145,-20.24,926.79
424000,0.5912975072860718,1153,5300,1.7826038599014282,0.021952560171484947,-20.2,927.8
432000,0.858865037560463,1154,5400,1.786202073097229,0.014881670475006104,-20.19,927.51
440000,0.8736711144447327,1155,5500,1.7843799591064453,0.018636617809534073,-20.27,921.73
448000,0.6475793123245239,1155,5600,1.7823410034179688,0.021402612328529358,-20.27,923.39
456000,0.8427165001630783,1156,5700,1.7802969217300415,0.09032627940177917,-20.26,924.59
464000,0.9590652994811535,1156,5800,1.782467246055603,0.013806437142193317,-20.21,929.35
472000,0.7373480796813965,1157,5900,1.779770851135254,0.02231140248477459,-20.23,928.22
480000,0.9202675074338913,1157,6000,1.7755275964736938,0.009783088229596615,-20.19,933.16
488000,0.83250293135643,1158,6100,1.7732597589492798,0.016477499157190323,-20.18,936.36
496000,0.8718855828046799,1158,6200,1.7668488025665283,0.007966811768710613,-20.27,928.41
504000,0.8893396332859993,1119,6300,1.7650206089019775,0.04826171323657036,-20.32,921.73
512000,0.9433639086782932,1121,6400,1.7718327045440674,0.006136530544608831,-20.3,921.73
520000,0.6891282796859741,1122,6500,1.7636687755584717,0.030624309554696083,-20.36,919.66
528000,0.8313432484865189,1123,6600,1.7593590021133423,0.01907997764647007,-20.33,921.03
536000,0.8676547706127167,1124,6700,1.743463158607483,0.013750669546425343,-20.32,914.77
544000,0.9728274662047625,1125,6800,1.7617889642715454,0.0046966164372861385,-20.32,919.33
552000,0.8883626163005829,1126,6900,1.7472206354141235,0.012207463383674622,-20.38,904.93
560000,0.7837692499160767,1127,7000,1.7627105712890625,0.02074400708079338,-20.43,896.36
568000,0.868481308221817,1128,7100,1.7399038076400757,0.01701200380921364,-20.36,904.26
