#{"t_start": 1572453376.5138035, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1096,233.926117
-21.0,782,447.160928
-21.0,1035,678.543549
-20.0,924,892.211227
-21.0,927,1110.962166
-20.0,1051,1341.901813
-21.0,823,1546.097419
-20.0,959,1779.113249
-21.0,1084,2002.274794
-19.0,980,2227.254276
-18.0,1237,2463.283933
-19.0,1092,2685.331559
-17.0,1553,2954.402944
-20.0,1674,3233.611861
-18.0,1936,3532.485159
-16.0,2117,3817.536959
-9.0,2254,4110.680901
-3.0,3629,4475.521137
18.0,1743,4729.703244
-21.0,816,4990.138131
97.516241
-20.0,839,309.16149
-19.0,987,317.798167
-20.0,925,325.912693
-21.0,825,333.262251
-19.0,976,345.665383
-19.0,992,360.03647
-21.0,776,367.025528
-21.0,882,374.782945
-20.0,887,382.552411
-20.0,863,390.070443
-20.0,979,402.394438
-20.0,915,463.949768
-21.0,820,478.257975
-21.0,821,488.554868
-21.0,869,496.157528
-20.0,864,503.803505
-21.0,848,511.222603
-21.0,818,518.352582
-18.0,1169,531.447265
-19.0,932,545.431485
-21.0,787,553.103027
-21.0,776,560.077665
-20.0,1046,569.359985
-21.0,791,576.302142
-20.0,919,587.226383
-21.0,1093,602.51025
-20.0,908,610.549738
-20.0,1018,619.589819
-20.0,916,627.694733
-21.0,1030,695.978528
-21.0,818,703.203276
-21.0,780,711.36023
-18.0,1128,727.011116
-20.0,981,739.96514
-20.0,953,748.364844
-21.0,879,756.051924
-21.0,896,763.957075
-20.0,955,773.295349
-18.0,1132,791.647084
-21.0,870,799.303936
-20.0,985,807.935335
-20.0,869,815.5693
-20.0,832,822.921617
-19.0,1007,833.682318
-17.0,1262,844.857127
-21.0,1019,909.751679
-20.0,962,918.197752
-21.0,877,928.611724
-21.0,780,941.163634
-20.0,947,949.544818
-21.0,863,959.043916
-20.0,837,966.322414
-19.0,1033,975.415526
-20.0,883,983.222224
-20.0,912,993.647868
-21.0,847,1006.255948
-21.0,896,1015.175288
-19.0,933,1023.336029
-20.0,865,1030.917759
-20.0,888,1038.671239
-20.0,864,1048.977762
-21.0,901,1063.379096
-21.0,817,1126.753171
-21.0,819,1139.316865
-20.0,835,1146.580663
-20.0,899,1154.446202
-20.0,843,1161.824505
-20.0,912,1169.740682
-20.0,864,1177.310061
-20.0,838,1184.635203
-20.0,916,1194.507408
-21.0,780,1201.398687
-19.0,977,1214.777562
-21.0,822,1226.643699
-20.0,959,1235.080503
-19.0,1144,1245.106492
-21.0,931,1253.301871
-21.0,879,1261.716966
-21.0,882,1275.594705
-20.0,914,1287.056406
-20.0,950,1355.656037
-18.0,1152,1365.689284
-21.0,777,1372.355077
-19.0,1042,1381.488167
-21.0,939,1391.74082
-20.0,836,1405.682193
-21.0,820,1412.918257
-21.0,781,1419.892916
-21.0,911,1427.873649
-21.0,1123,1439.650782
-21.0,848,1447.133871
-19.0,1037,1458.096171
-21.0,1039,1473.859262
-18.0,1088,1483.351566
-20.0,943,1491.70551
-20.0,1011,1503.347303
-21.0,864,1573.39987
-18.0,1276,1591.536712
-20.0,836,1598.856552
-20.0,959,1607.340644
-20.0,949,1615.690732
-20.0,981,1624.324896
-21.0,823,1633.535489
-21.0,844,1647.455845
-21.0,782,1654.407434
-20.0,1154,1664.454766
-19.0,1101,1675.94639
-20.0,886,1685.70933
-21.0,909,1699.221557
-21.0,939,1707.574172
-20.0,864,1715.204591
-21.0,935,1723.320485
-21.0,844,1730.688896
-20.0,836,1797.400676
-21.0,903,1806.04325
-21.0,786,1814.052897
-20.0,1001,1822.866864
-20.0,890,1830.804917
-21.0,974,1844.640124
-21.0,899,1856.461481
-19.0,1097,1866.159438
-20.0,1159,1876.485355
-19.0,1076,1885.940419
-20.0,1072,1895.315965
-19.0,1202,1905.806519
-21.0,868,1915.328695
-19.0,1032,1930.15489
-20.0,920,1938.228252
-18.0,1150,1948.299606
-18.0,1055,2019.54173
-20.0,1047,2028.721259
-21.0,875,2040.077005
-20.0,925,2053.656947
-21.0,959,2062.122524
-20.0,1177,2072.440592
-20.0,842,2079.970207
-19.0,1036,2089.093289
-20.0,862,2096.673023
-20.0,1093,2113.166516
-21.0,987,2126.151742
-20.0,1018,2135.597339
-18.0,1098,2145.115409
-19.0,1242,2159.654399
-19.0,1082,2174.846323
-20.0,901,2245.8316
-21.0,786,2252.832
-21.0,848,2260.193594
-21.0,1056,2270.461533
-19.0,978,2284.56071
-20.0,917,2296.407573
-21.0,848,2303.64343
-18.0,1058,2312.811803
-21.0,783,2319.812171
-19.0,1013,2328.764964
-21.0,879,2338.611033
-21.0,1002,2353.622804
-20.0,1010,2363.33675
-20.0,1174,2373.526918
-17.0,1231,2384.489883
-20.0,1137,2396.28444
-20.0,974,2478.740332
-21.0,939,2487.043931
-18.0,1295,2498.323204
-18.0,1436,2512.719416
-21.0,955,2525.601902
-21.0,973,2537.994193
-18.0,1574,2551.654485
-19.0,1113,2561.289127
-18.0,1183,2575.27411
-18.0,1250,2590.829492
-17.0,1187,2601.149821
-20.0,1128,2610.975724
-19.0,1223,2621.76772
-20.0,1193,2717.871567
-20.0,1379,2730.015099
-18.0,1316,2741.461914
-20.0,1129,2756.97347
-18.0,1461,2774.564839
-18.0,1481,2787.325908
-18.0,1332,2798.963356
-18.0,1232,2815.483482
-18.0,1427,2830.636424
-16.0,1654,2845.134877
-18.0,1414,2857.950287
-17.0,1447,2878.56246
-16.0,1527,3002.474185
-18.0,1559,3022.433881
-19.0,1640,3036.738302
-19.0,1327,3050.184641
-16.0,1644,3071.350444
-20.0,1429,3083.792488
-16.0,1634,3097.485525
-19.0,2022,3124.149427
-16.0,1661,3138.821836
-20.0,1462,3273.338756
-17.0,1714,3297.245335
-20.0,1801,3313.212825
-19.0,1441,3325.798723
-19.0,1632,3340.084717
-17.0,1540,3362.100014
-21.0,1970,3379.227245
-19.0,1443,3391.827916
-13.0,2297,3420.661016
-16.0,1785,3549.411252
-21.0,1785,3565.851429
-12.0,2230,3595.575893
-19.0,1790,3611.222013
-19.0,1531,3627.346496
-18.0,1685,3647.40571
-10.0,2402,3668.202491
-19.0,1684,3684.544326
-10.0,2457,3713.419354
-20.0,1971,3857.047672
-13.0,2205,3876.021626
-10.0,2318,3900.689186
-9.0,2625,3929.734242
-20.0,1562,3943.326005
-20.0,1634,3959.241761
-8.0,2586,3989.906506
-17.0,2121,4143.48599
-11.0,2451,4173.172536
