#{"t_start": 1572313019.4428976, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,919,293.225818
-21.0,1722,635.869419
20.0,1625,964.184606
18.0,1722,1364.606544
14.0,1969,1777.082861
16.0,2157,2194.512406
8.0,3272,2662.562326
3.0,3541,3087.743825
1.0,3980,3519.467559
17.0,2237,3868.828409
16.0,2023,4287.844924
12.0,2827,4704.229135
19.0,2198,5109.370591
14.0,2048,5491.082567
20.0,2099,5865.021814
21.0,1572,6275.94976
20.0,2188,6699.070286
21.0,1781,7068.640396
19.0,2801,7494.051172
21.0,1786,7846.964534
20.0,1638,8212.263766
18.0,2203,8620.034455
20.0,2089,8983.806018
17.0,2098,9358.602059
20.0,2072,9755.986912
20.0,2851,10165.646804
21.0,2527,10530.784585
21.0,2099,10882.222869
21.0,2532,11278.418062
21.0,2591,11662.553538
21.0,2533,12030.933197
19.0,2073,12390.824234
20.0,2001,12768.106651
20.0,2067,13141.486624
18.0,2816,13552.01934
20.0,2074,13904.652879
20.0,2160,14284.832603
19.0,2519,14695.315594
21.0,2533,15070.041855
