time_elapsed,serial_timesteps,policy_loss,clipfrac,value_loss,explained_variance,n_updates,policy_entropy,fps,approxkl,total_timesteps,ep_len_mean,ep_reward_mean
5.4836273193359375e-06,128,-0.0011524548,0.03881836,0.1979507,-0.02615821361541748,1,1.7904818,313,0.0013203511,1024,,
3.266200542449951,256,-0.0010901286,0.0,0.06404535,0.0010306239128112793,2,1.7900745,962,0.0003349122,2048,,
4.331125497817993,384,-0.0003879585,0.0,0.08302657,0.005840778350830078,3,1.7879553,977,0.00017253001,3072,,
5.3795952796936035,512,-0.00090470165,0.0,0.067428954,0.006474494934082031,4,1.7875501,913,0.0005018157,4096,,
6.501609802246094,640,-0.00043533227,0.0,0.053099178,0.006525635719299316,5,1.7872477,972,0.00027081434,5120,,
7.556586980819702,768,-0.001968291,0.060791016,0.05855058,0.006158888339996338,6,1.7847887,863,0.00084092875,6144,,
8.744186639785767,896,-0.00017269712,0.0,0.052604415,0.004668533802032471,7,1.7831063,778,0.00019748349,7168,852.2,-20.8
10.061217308044434,1024,-0.0024252452,0.05126953,0.046897225,0.012045800685882568,8,1.780615,891,0.001203894,8192,877.6666666666666,-20.666666666666668
11.211591720581055,1152,-0.0033166783,0.052246094,0.061040804,0.011274278163909912,9,1.7808155,943,0.001208399,9216,925.0,-20.125
12.298104286193848,1280,-0.0010855887,0.0,0.06059149,0.018385589122772217,10,1.7816797,1056,0.00039047745,10240,925.0,-20.125
13.268683671951294,1408,-0.0004073347,0.0,0.06265401,0.02467447519302368,11,1.7834792,968,0.00042176913,11264,925.0,-20.125
14.327593564987183,1536,-0.0010451132,0.0,0.04750658,0.03592979907989502,12,1.787222,1042,0.00044337165,12288,925.0,-20.125
15.310974359512329,1664,-0.001961541,0.043701172,0.057107884,0.023567020893096924,13,1.7905997,1108,0.0012514505,13312,925.0,-20.125
16.236364603042603,1792,7.903291e-06,0.0,0.053535227,0.021143019199371338,14,1.7898946,889,0.00023589216,14336,900.0,-20.272727272727273
17.389606714248657,1920,-0.0011113412,0.044433594,0.04272473,0.043493807315826416,15,1.7862101,936,0.0008386648,15360,912.7692307692307,-20.153846153846153
18.484850883483887,2048,-0.00010702401,0.0,0.056239404,0.04499095678329468,16,1.7855512,945,0.00017450131,16384,922.3125,-20.125
19.570197105407715,2176,-0.00072806346,0.0,0.060522776,0.059359610080718994,17,1.7856636,943,0.00041898305,17408,922.3125,-20.125
20.65733528137207,2304,-0.0015326502,0.053466797,0.06657441,0.028698861598968506,18,1.7838556,933,0.0010912314,18432,922.3125,-20.125
21.75646996498108,2432,-0.0022716725,0.048095703,0.05975364,0.047707557678222656,19,1.782485,1085,0.0010118228,19456,922.3125,-20.125
22.701542854309082,2560,-0.000586293,0.010498047,0.056778867,0.04681605100631714,20,1.7846072,1102,0.00054858037,20480,922.3125,-20.125
23.632474660873413,2688,-0.0034568692,0.07788086,0.051619984,0.07287979125976562,21,1.7828989,923,0.0013805578,21504,919.0,-20.166666666666668
24.743582725524902,2816,-0.0011965221,0.028320312,0.050306,0.0756216049194336,22,1.7810766,936,0.00057970046,22528,915.5714285714286,-20.142857142857142
25.839772939682007,2944,-0.00051525584,0.0,0.05009676,0.12334871292114258,23,1.786576,1058,0.00036443153,23552,924.9583333333334,-20.083333333333332
26.809072732925415,3072,-0.0015761183,0.040283203,0.051485814,0.025857627391815186,24,1.7856171,989,0.000883809,24576,924.9583333333334,-20.083333333333332
27.845226526260376,3200,-0.00044592607,0.0,0.04588737,0.1250649094581604,25,1.7832562,963,0.00015401153,25600,924.9583333333334,-20.083333333333332
28.90919065475464,3328,-0.00068758643,0.015136719,0.03843021,0.1744878888130188,26,1.7796674,902,0.0008908754,26624,924.9583333333334,-20.083333333333332
30.04560899734497,3456,-0.0023774665,0.06591797,0.03917785,0.2185550332069397,27,1.7816666,885,0.0014500511,27648,924.9583333333334,-20.083333333333332
31.20354175567627,3584,-0.002408195,0.053955078,0.06393567,0.13101160526275635,28,1.7812346,975,0.001238982,28672,919.9230769230769,-20.153846153846153
32.256659269332886,3712,-0.0014186209,0.021240234,0.06825791,0.1320698857307434,29,1.783176,907,0.00055842596,29696,912.0344827586207,-20.20689655172414
33.38749098777771,3840,-0.0027776314,0.063964844,0.046150308,0.23746734857559204,30,1.7867775,786,0.001130589,30720,917.7741935483871,-20.193548387096776
34.69226861000061,3968,-0.00064306543,0.0012207031,0.049738493,0.16208422183990479,31,1.7872316,969,0.00046459114,31744,917.7741935483871,-20.193548387096776
35.75313591957092,4096,9.5642e-05,0.0,0.040639486,0.2284439206123352,32,1.78796,956,8.578436e-05,32768,923.4375,-20.1875
36.825851917266846,4224,9.4403396e-05,0.0,0.039484512,0.24301248788833618,33,1.7878554,1044,0.0001305543,33792,923.4375,-20.1875
37.80737590789795,4352,-0.0035450251,0.092285156,0.05587746,0.2118193507194519,34,1.7890326,949,0.001141555,34816,918.4545454545455,-20.21212121212121
38.8873610496521,4480,-0.0012204829,0.04248047,0.051723905,0.2021808624267578,35,1.7849941,908,0.000864102,35840,909.9714285714285,-20.257142857142856
40.017136573791504,4608,-0.0024804277,0.044189453,0.04048672,0.28880804777145386,36,1.7852534,853,0.001077464,36864,911.3888888888889,-20.25
41.21920990943909,4736,-0.0006101314,0.0,0.03954014,0.42322874069213867,37,1.7872468,890,0.00018337113,37888,914.8461538461538,-20.205128205128204
42.37131142616272,4864,-0.00046549249,0.0,0.03838527,0.1838752031326294,38,1.7854999,1081,0.00036125543,38912,914.8461538461538,-20.205128205128204
