#{"t_start": 1572313019.513437, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,880,291.20517
-20.0,1525,625.49651
16.0,2214,994.213224
11.0,2324,1395.455191
18.0,2162,1787.392763
20.0,1673,2170.001587
17.0,1811,2260.132785
20.0,1612,2578.878803
-3.0,3344,3077.160234
15.0,2476,3445.123224
5.0,3230,3916.752156
20.0,2074,4290.655762
21.0,1618,4645.14225
21.0,1574,4720.910337
16.0,3051,5150.163506
20.0,2068,5491.909386
20.0,2068,5863.443413
21.0,1577,6276.201387
21.0,1574,6669.420492
20.0,2397,7099.532341
20.0,2100,7458.134466
20.0,2074,7861.491422
20.0,2072,8234.476967
20.0,1615,8590.742056
21.0,2530,9006.984703
21.0,1577,9331.588348
16.0,2329,9769.323924
20.0,2578,10151.671395
17.0,2536,10531.116787
20.0,2098,10882.085673
18.0,2664,11284.86973
21.0,1578,11611.677113
20.0,2150,12010.95301
20.0,2069,12390.477029
21.0,2533,12794.915105
20.0,2068,13141.481186
21.0,2594,13541.512368
21.0,2528,13926.772274
16.0,2982,14326.856949
20.0,2097,14674.26717
20.0,2067,15046.98246
1142,380.998313
-21.0,788,387.031146
-20.0,1114,395.693283
-21.0,1032,403.605477
-19.0,1054,411.331714
-18.0,1177,420.37167
-21.0,1091,428.831973
-20.0,943,435.842755
-18.0,1209,445.424777
-20.0,1352,456.347212
-21.0,1077,464.721128
-21.0,913,471.848193
-18.0,1089,480.466401
-17.0,1419,491.825374
-21.0,1349,502.994265
-17.0,1535,515.323239
-19.0,1801,529.392445
-17.0,1579,542.023353
-19.0,1436,653.568158
-16.0,2253,671.094298
-19.0,1777,684.865059
-17.0,2216,701.569321
-21.0,1785,715.262291
-21.0,1429,725.87584
-20.0,1729,738.867028
-19.0,2090,754.002441
-17.0,1702,766.669654
-11.0,1982,781.661163
-16.0,2375,798.714563
-17.0,2324,816.191542
-12.0,2596,835.350397
-3.0,3126,858.157938
11.0,2392,876.420585
-5.0,2970,1056.716637
14.0,2037,1072.768051
13.0,2349,1090.962474
17.0,2117,1107.562046
16.0,2273,1124.961021
5.0,3534,1152.226716
17.0,2150,1168.394715
17.0,1731,1181.666986
17.0,2272,1198.272627
21.0,1965,1213.025868
14.0,2160,1229.311985
18.0,2041,1244.538759
18.0,1730,1257.540607
19.0,1875,1271.551276
19.0,1708,1446.126401
20.0,1661,1459.176682
17.0,2122,1475.982064
19.0,1786,1489.826108
20.0,1617,1502.676573
20.0,1567,1514.698889
18.0,1851,1528.758172
20.0,2039,1544.363231
-5.0,3271,1569.051564
19.0,1759,1581.985761
20.0,2035,1597.074018
16.0,1913,1611.44219
20.0,2040,1626.44081
2.0,3412,1651.539835
19.0,1789,1665.112533
14.0,2318,1682.866663
19.0,1633,1863.466807
-2.0,3655,1891.927546
10.0,2838,1914.558375
20.0,2037,1930.322018
20.0,1614,1942.666069
19.0,1716,1955.761662
15.0,1966,1970.342847
14.0,2431,1988.573358
18.0,2007,2003.618025
5.0,3217,2027.021974
16.0,2301,2043.849642
19.0,2126,2059.278491
20.0,2040,2074.538988
-6.0,2691,2269.658412
12.0,2433,2288.967919
18.0,2015,2304.716509
4.0,3289,2329.770648
16.0,2370,2347.198625
16.0,2892,2368.972606
15.0,2135,2384.894882
20.0,2068,2400.367304
19.0,2173,2416.63591
20.0,1622,2428.484379
20.0,2071,2444.172071
15.0,2192,2460.806778
18.0,2283,2477.89167
20.0,2071,2493.764617
14.0,2297,2686.298556
16.0,2233,2703.674546
19.0,2120,2719.405463
20.0,2073,2734.515665
20.0,2068,2749.780048
20.0,2072,2764.824662
20.0,1893,2779.177298
20.0,1565,2790.699104
20.0,2070,2806.167741
16.0,2267,2822.802215
17.0,2259,2839.700637
16.0,2524,2858.83877
20.0,2127,2874.741328
20.0,2127,2890.749381
20.0,2071,2906.355788
19.0,2057,3101.64943
2.0,3529,3128.182101
18.0,2097,3143.84883
14.0,2373,3161.124788
-4.0,3172,3184.920283
20.0,2074,3200.044248
20.0,2127,3215.976192
14.0,2248,3232.679908
20.0,2129,3248.308105
21.0,2031,3263.251728
20.0,2069,3278.751496
17.0,1938,3293.164247
19.0,1873,3307.958645
3.0,3443,3531.257316
21.0,1572,3543.044699
20.0,1618,3555.409017
8.0,3430,3580.146344
20.0,1697,3592.695805
20.0,1616,3604.953337
20.0,2074,3620.129873
18.0,2138,3635.507637
19.0,1956,3650.1414
20.0,1586,3662.177698
17.0,2207,3678.89186
14.0,3055,3702.805623
