#{"t_start": 1572313020.0760493, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,838,288.629798
-18.0,1511,624.083308
16.0,2015,983.322521
18.0,2080,1382.661258
19.0,2084,1782.582845
14.0,2297,2200.616447
17.0,2309,2613.210202
20.0,1615,2989.868855
3.0,3413,3490.679755
5.0,2784,3894.754361
18.0,2194,4295.977222
20.0,2070,4667.464772
20.0,1562,4742.648188
16.0,2286,5112.540483
14.0,2618,5516.864213
20.0,1617,5841.335496
16.0,2500,6318.442084
19.0,2319,6704.741998
21.0,1573,7057.042249
21.0,1577,7431.62818
20.0,2129,7863.716159
20.0,2130,8236.893008
20.0,1642,8591.5752
18.0,2001,8978.716567
20.0,1722,9338.349417
21.0,2529,9779.198752
20.0,2072,10125.576036
21.0,1579,10485.002089
21.0,2695,10912.75794
20.0,2730,11287.792307
18.0,2340,11648.961163
21.0,2594,12033.025053
21.0,2532,12413.108249
20.0,2188,12777.188769
21.0,1573,13115.456302
21.0,1576,13490.792749
20.0,1723,13886.724419
20.0,2071,14279.922184
20.0,2672,14701.775481
21.0,1572,15021.147736
