#{"t_start": 1572313020.0055761, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,911,292.224617
-17.0,1977,648.735423
8.0,2645,1015.925819
7.0,2538,1405.769848
20.0,2041,1780.452651
18.0,1815,2176.143774
17.0,1934,2594.591451
20.0,1970,3007.460939
13.0,2900,3465.638096
21.0,2030,3857.373696
21.0,1726,3941.870419
13.0,2457,4309.584489
20.0,2072,4667.676319
20.0,1848,5092.811801
20.0,2071,5491.630177
21.0,1783,5849.730741
20.0,1862,5937.800089
21.0,1576,6275.644085
19.0,2288,6703.391762
19.0,2732,7115.707648
21.0,1574,7431.501234
21.0,1786,7846.423395
21.0,1575,8208.679691
20.0,1613,8590.177788
21.0,2532,9006.627127
8.0,2802,9394.056414
21.0,2530,9779.331391
20.0,2671,10155.662726
21.0,1578,10485.019943
21.0,1579,10856.018301
21.0,1572,11228.884363
21.0,2595,11662.255261
20.0,2072,12006.755867
21.0,1575,12365.377279
21.0,1574,12746.079125
20.0,2070,13141.133903
20.0,2619,13542.173276
20.0,2073,13904.034992
21.0,2595,14306.155505
20.0,2070,14672.504012
21.0,2528,15069.204519
