#{"t_start": 1572313018.824671, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,968,295.919391
-14.0,1833,642.162828
-4.0,3143,1041.93279
17.0,1750,1366.799452
17.0,1821,1770.085185
13.0,2004,2187.318438
18.0,2215,2609.352835
20.0,1619,2991.318666
20.0,2068,3425.521817
20.0,2070,3860.563056
21.0,1574,4265.90846
17.0,2193,4675.292945
21.0,1575,4750.493472
20.0,2311,5115.232668
19.0,2148,5496.486346
17.0,2311,5876.571717
21.0,1573,5951.510083
20.0,2067,6299.290205
20.0,2210,6700.711814
19.0,1981,7079.197356
20.0,1698,7438.502483
21.0,1572,7837.724618
19.0,2216,8242.390639
18.0,2335,8627.122182
19.0,1730,8966.725611
21.0,2530,9381.551071
20.0,2607,9784.520088
20.0,2323,10138.851841
20.0,2130,10511.686128
19.0,2752,10916.856333
21.0,2592,11281.994035
21.0,2594,11663.341833
21.0,1576,11983.348148
21.0,2533,12414.412844
21.0,1575,12747.328017
20.0,2067,13142.06588
21.0,2527,13538.76168
21.0,1572,13880.648587
21.0,2528,14304.022945
21.0,2593,14699.454866
21.0,1578,15022.710567
.625473
-19.0,1216,380.842535
-21.0,881,387.643214
-21.0,836,394.159923
-18.0,1024,401.817595
-18.0,1193,410.85062
-19.0,1037,418.706753
-20.0,942,426.156102
-19.0,1205,435.105752
-21.0,1002,442.949524
-20.0,868,450.061133
-20.0,1372,460.875741
-21.0,1170,470.066838
-20.0,951,477.497815
-17.0,1295,487.897566
-21.0,1297,498.375872
-21.0,1145,507.69772
-19.0,1386,518.97692
-18.0,1857,533.254656
-18.0,1849,547.829396
-20.0,1505,660.228814
-20.0,1514,671.967488
-17.0,1773,685.525115
-19.0,1682,698.410187
-19.0,1936,713.00108
-14.0,2144,729.011569
-18.0,1911,743.276154
-17.0,1901,757.099586
-21.0,1790,770.763359
-14.0,1890,784.653574
-13.0,2166,800.547287
-11.0,2898,822.188189
-18.0,2010,836.703608
-9.0,2618,855.932921
4.0,2954,878.310874
9.0,2501,1054.915776
2.0,3169,1079.729141
-4.0,2849,1101.987821
-4.0,3454,1128.829166
18.0,1848,1143.414184
9.0,2592,1162.922384
20.0,2124,1178.620457
19.0,1910,1192.922709
19.0,2142,1208.929263
8.0,2573,1228.202252
18.0,1787,1241.600903
13.0,2335,1259.003787
12.0,2313,1276.441118
20.0,1667,1450.703235
-1.0,3645,1479.568533
14.0,2260,1497.316736
15.0,2101,1513.659589
13.0,2151,1530.057356
19.0,2145,1546.346934
17.0,1814,1560.088168
17.0,2230,1576.637324
19.0,1742,1589.492568
10.0,2324,1607.027204
16.0,2106,1622.690364
11.0,2494,1640.699706
19.0,1690,1653.331824
20.0,2040,1668.761788
20.0,2072,1853.168062
20.0,2071,1868.837953
14.0,2100,1885.024331
16.0,1915,1900.087929
20.0,2041,1916.562576
3.0,3412,1942.654799
19.0,1649,1955.306893
20.0,2038,1970.373063
20.0,1619,1982.364693
3.0,3409,2008.003859
1.0,3997,2037.03601
20.0,2072,2052.467595
20.0,1613,2063.996491
18.0,1730,2076.886838
13.0,2216,2268.601404
5.0,3299,2294.486123
20.0,2072,2310.516608
20.0,2071,2326.398918
20.0,2128,2341.903338
1.0,3603,2369.139128
18.0,1664,2381.521869
9.0,3575,2408.269556
20.0,2008,2423.191077
17.0,2225,2439.611686
20.0,2147,2456.095008
18.0,2207,2472.446088
15.0,2609,2492.579354
19.0,2003,2682.551042
10.0,3515,2709.945663
20.0,1618,2721.837742
13.0,2779,2742.192702
3.0,3412,2767.324134
20.0,1648,2779.830861
17.0,1893,2793.804741
11.0,2862,2814.820376
5.0,3318,2839.530209
17.0,2000,2854.670104
14.0,2664,2874.681012
20.0,2072,2890.22244
21.0,1577,2902.203078
3.0,3410,3107.951877
20.0,2073,3123.22641
21.0,1577,3135.064609
17.0,2292,3151.941381
12.0,2363,3169.457432
21.0,1579,3181.348548
4.0,3520,3207.345483
3.0,3409,3232.411478
19.0,2148,3248.390282
17.0,2031,3263.334475
21.0,1578,3275.10782
20.0,2073,3290.676245
3.0,3410,3316.990497
19.0,2109,3530.122574
18.0,1892,3544.300227
20.0,1613,3556.703211
19.0,1979,3571.0397
20.0,2007,3585.575491
20.0,2072,3601.140077
17.0,2215,3617.586653
16.0,2220,3633.460787
21.0,1575,3645.035811
18.0,2157,3661.443966
21.0,1578,3673.204665
19.0,2110,3689.842741
19.0,2173,3706.502166
19.0,2222,3723.832844
19.0,2075,3739.793682
20.0,2070,3755.332563
20.0,2074,3963.037466
17.0,2418,3981.385754
12.0,2690,4001.544074
19.0,1855,4015.521462
19.0,1872,4029.609283
12.0,2538,4048.756977
16.0,2089,4064.693583
21.0,1576,4076.328402
21.0,1707,4088.997464
21.0,1572,4101.679021
18.0,1788,4115.343019
1.0,3170,4139.213517
20.0,2070,4155.438701
17.0,2346,4174.070446
20.0,2070,4189.881454
20.0,2074,4343.524338
13.0,2347,4361.382177
20.0,2070,4376.688854
17.0,2074,4392.339736
20.0,2072,4407.977748
20.0,2067,4423.438937
20.0,2067,4438.846216
19.0,1953,4453.081663
7.0,3937,4484.022125
14.0,2285,4501.623124
20.0,2074,4517.572389
19.0,1683,4530.88948
18.0,1969,4546.473153
20.0,1752,4559.93222
17.0,2192,4772.865351
19.0,1856,4786.593932
20.0,2003,4801.25165
15.0,2256,4817.983289
18.0,2103,4833.768635
20.0,1662,4846.949237
20.0,2072,4862.763959
18.0,2444,4881.67256
16.0,2445,4900.891566
20.0,1759,4914.702951
17.0,2280,4932.619162
20.0,2071,4949.116505
21.0,1579,4961.461879
21.0,1579,4973.701233
17.0,2310,4991.965058
20.0,2127,5156.18343
18.0,1997,5171.259069
21.0,1576,5183.2126
13.0,2684,5202.936564
20.0,1612,5214.879229
-1.0,3842,5244.263397
20.0,2072,5259.846786
18.0,1685,5273.268093
20.0,2097,5289.628856
16.0,2616,5310.1526
20.0,2071,5325.891929
19.0,1665,5339.271843
19.0,2137,5355.68869
18.0,2231,5372.900683
20.0,2073,5389.289542
21.0,1619,5527.488074
14.0,2780,5548.24262
19.0,2249,5565.052317
20.0,1636,5577.235682
20.0,1821,5590.915749
19.0,1722,5604.070326
20.0,2074,5620.035901
19.0,1740,5634.155806
20.0,1674,5647.363075
18.0,1914,5662.259826
19.0,2016,5677.781384
20.0,1617,5690.610885
18.0,2274,5708.57949
16.0,2150,5725.834084
21.0,1621,5738.110123
20.0,1636,5750.811792
18.0,2239,5964.828513
21.0,1575,5976.391736
21.0,1575,5988.526258
19.0,1878,6003.385815
21.0,1579,6015.937547
17.0,2687,6037.329538
19.0,2494,6056.902951
17.0,2149,6073.541872
20.0,2067,6089.529304
20.0,1801,6103.496993
18.0,2444,6123.078228
21.0,1572,6135.390227
18.0,1722,6149.328444
20.0,2101,6165.699881
20.0,2067,6181.859199
14.0,2814,6204.008025
16.0,2527,6372.065339
19.0,1711,6385.357203
18.0,2453,6404.694289
18.0,2324,6422.940334
21.0,1624,6435.902262
19.0,2836,6458.047422
20.0,2074,6473.670736
21.0,1574,6486.302586
19.0,1950,6500.744328
20.0,2073,6516.964743
20.0,2069,6533.21152
21.0,2628,6553.370023
21.0,2654,6574.084896
21.0,2529,6593.221245
21.0,2530,6756.923878
21.0,2531,6776.947993
21.0,2529,6797.298406
20.0,2197,6814.930438
20.0,2401,6833.801228
21.0,2531,6853.856341
20.0,2249,6871.651886
20.0,2131,6888.388835
17.0,2311,6905.813623
18.0,2738,6927.344504
21.0,1579,6939.177921
17.0,2481,6957.993389
20.0,2071,6973.167991
21.0,2532,7127.398724
21.0,1579,7139.748094
21.0,1576,7152.019214
20.0,2308,7170.236009
21.0,2530,7189.756962
20.0,2068,7205.755487
4.0,3271,7231.035359
19.0,1856,7245.675619
16.0,2345,7264.143183
21.0,1575,7276.010592
21.0,1572,7288.587638
18.0,1688,7301.775826
17.0,2278,7318.674631
20.0,2135,7334.461886
20.0,2249,7351.439465
21.0,1573,7524.069784
18.0,2130,7540.723797
21.0,2527,7559.452825
20.0,2130,7576.683754
