#{"t_start": 1572313019.4461966, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,899,292.238052
-20.0,1725,636.031458
17.0,2141,990.445775
15.0,1920,1374.966645
4.0,2798,1818.462502
20.0,2037,2188.342944
19.0,2080,2601.871731
15.0,2149,3017.042766
19.0,1643,3404.482304
18.0,2253,3515.538732
15.0,2635,3888.051064
20.0,2123,4293.06877
20.0,2128,4671.060286
20.0,1928,5097.035153
20.0,2134,5495.17472
21.0,1574,5839.55647
21.0,2013,5935.703219
18.0,2676,6327.415812
20.0,1860,6682.663671
18.0,2541,7106.959781
20.0,1701,7438.087036
21.0,1577,7518.039157
21.0,2530,7883.970066
20.0,2072,8234.569602
21.0,1576,8588.632378
20.0,1723,8965.860547
18.0,1956,9351.283059
20.0,2220,9763.95133
19.0,2075,10126.368277
20.0,2679,10538.176846
20.0,2578,10907.053378
21.0,1575,11229.587238
21.0,2510,11657.965394
18.0,2455,12027.109838
21.0,2595,12416.532588
20.0,2127,12774.753248
21.0,2593,13168.422358
21.0,1573,13491.232144
20.0,1698,13886.12949
21.0,1575,14256.994854
21.0,2528,14695.808044
21.0,2528,15069.739828
