timestamp,rapl_power_draw_absolute,rapl_estimated_attributable_power_draw,nvidia_draw_absolute,nvidia_estimated_attributable_power_draw,cpu_time_seconds,average_gpu_estimated_utilization_absolute,average_gpu_estimated_utilization_relative,average_relative_cpu_utilization,absolute_cpu_utilization,per_gpu_performance_state,relative_mem_usage,absolute_mem_usage,absolute_mem_percent_usage,hz_actual,realtime_carbon_intensity
1570673522.70711,50.713012154753486,13.577847947901532,163.82,163.82,8.89,0.85,1.0,0.3055555556223068,0.9889612341827798,0::P0,0.11875420877311123,758075392,0.012827104050529593,2.0706 GHz,339.3591379554799
1570673534.257572,66.90513890406844,20.371491035522446,165.03,165.03,21.11,0.98,1.0,0.32238805955809036,1.0784512528621637,0::P0,0.2381007290320861,1629724672,0.025731295930550912,2.3999 GHz,339.3591379554799
1570673544.710425,65.43496076012376,20.246141295624234,159.38,159.38,32.49,0.98,1.0,0.3283582089004528,1.098559832596894,0::P0,0.2381087247199932,1629827072,0.025732614837368176,2.2867 GHz,339.3591379554799
1570673556.369593,57.01002098227387,16.853631627529158,159.56,159.56,45.28000000000001,0.98,1.0,0.311239193190499,1.0783404949053101,0::P0,0.2381145895610218,1629880320,0.02573334251009494,2.8814 GHz,339.3591379554799
1570673567.885945,66.11716079969462,19.94696399903611,170.37,170.37,57.76,0.98,1.0,0.3181818182895747,1.0488815726039837,0::P0,0.2381303825116681,1629908992,0.025733706346458326,2.3999 GHz,339.3591379554799
1570673579.364593,69.30997760281764,20.758542657934473,154.16,154.16,70.2,0.98,1.0,0.3151862462299341,1.0983317913624815,0::P0,0.23814784823140153,1629913088,0.025733766985852224,2.3840 GHz,339.3591379554799
1570673590.873018,63.784172022214065,18.485474791359145,159.2,159.2,82.74,0.98,1.0,0.30372492834730974,1.0584552104395988,0::P0,0.23813190565397724,1629917184,0.02573382762524612,1.4737 GHz,339.3591379554799
1570673601.379374,68.69747535414838,18.921064027668276,161.51,161.51,94.17999999999999,0.98,1.0,0.2845744680315374,1.068623500936522,0::P0,0.2381363821541963,1629917184,0.02573382762524612,2.0993 GHz,339.3591379554799
1570673612.827852,65.52559062886682,19.927466237558583,158.33,158.33,106.66000000000001,0.98,1.0,0.3214285715746851,1.0785971028924457,0::P0,0.23813527294111905,1629921280,0.025733888264640018,2.9093 GHz,339.3591379554799
1570673623.31406,65.72550871730388,20.801682181761116,157.1,157.1,118.08,0.98,1.0,0.33711658775165415,1.1083109643374935,0::P0,0.23813235980269395,1629925376,0.025733948904033913,2.4000 GHz,339.3591379554799
1570673633.792312,59.00161093599972,16.851383576247507,163.17,163.17,129.54000000000002,0.98,1.0,0.29863013687962575,1.0883836798977544,0::P0,0.23813696992822952,1629925376,0.025733948904033913,2.3999 GHz,339.3591379554799
1570673644.283402,63.513780513852375,19.551654960047944,154.54,154.54,141.04000000000002,0.98,1.0,0.3264094954479317,1.098312514742655,0::P0,0.23812400858056512,1629925376,0.025733948904033913,1.3994 GHz,339.3591379554799
