#{"t_start": 1572417420.5914245, "env_id": "PongNoFrameskip-v4"}
r,l,t
-12.0,2244,1356.725061
-8.0,2443,2736.261967
20.0,1674,4119.613475
21.0,1642,5495.91252
21.0,1638,6836.592659
20.0,1671,8191.208354
21.0,1635,9533.571654
19.0,1785,10882.960521
20.0,1669,12227.048454
21.0,1622,13568.34092
20.0,1686,14911.73882
20.0,1676,16270.108163
21.0,1591,17609.061529
21.0,1589,18953.139119
21.0,1593,20291.924649
21.0,1585,21636.449475
21.0,1588,22974.978326
21.0,1595,24316.72416
21.0,1591,25647.823991
