#{"t_start": 1572417420.4790916, "env_id": "PongNoFrameskip-v4"}
r,l,t
-12.0,2163,1352.578644
-8.0,2439,2736.072807
20.0,1688,4120.464599
21.0,1641,5495.906802
17.0,1951,6853.492612
20.0,1750,8195.555006
21.0,1639,9533.988316
21.0,1641,10875.927587
20.0,1665,12226.84547
20.0,1666,13570.600423
15.0,1915,14923.925817
21.0,1626,16267.282866
21.0,1592,17609.257711
21.0,1592,18953.489717
21.0,1593,20292.019401
21.0,1591,21636.929998
20.0,1690,22980.224977
21.0,1593,24316.710663
20.0,1676,25652.097764
