#{"t_start": 1572417418.9719481, "env_id": "PongNoFrameskip-v4"}
r,l,t
-12.0,2166,1354.251542
-2.0,3270,2780.870409
-1.0,2466,4161.023928
20.0,1719,5501.382196
17.0,1948,6854.771693
20.0,1669,8192.679945
21.0,1638,9535.411831
21.0,1634,10876.830478
20.0,1685,12229.661048
21.0,1621,13569.857327
17.0,1888,14923.932651
20.0,1676,16271.689229
21.0,1588,17610.457556
21.0,1594,18955.136338
19.0,1724,20300.338186
21.0,1583,21637.905361
21.0,1605,22977.615387
21.0,1600,24318.594766
20.0,1671,25653.276808
