#{"t_start": 1572417419.7024174, "env_id": "PongNoFrameskip-v4"}
r,l,t
-12.0,2180,1354.198822
-7.0,2530,2741.509616
20.0,1675,4120.552927
20.0,1717,5500.548267
17.0,1951,6854.244536
20.0,1754,8196.560194
21.0,1639,9534.753575
21.0,1636,10876.228584
21.0,1630,12225.742779
21.0,1621,13569.134643
15.0,1915,14924.675774
21.0,1632,16268.476681
21.0,1595,17610.178772
21.0,1592,18954.27737
19.0,1729,20299.917204
21.0,1589,21637.566251
21.0,1590,22975.978907
21.0,1583,24316.749518
20.0,1673,25652.678744
