#{"t_start": 1572498636.7022445, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,818,28.59495
-20.0,902,32.903739
-20.0,857,37.043235
-19.0,1114,41.904583
-20.0,896,45.836746
-21.0,1014,50.476478
-21.0,965,54.98191
-20.0,880,59.142715
-21.0,883,63.667061
-19.0,1084,69.478186
-21.0,840,75.017581
-20.0,959,83.752502
-21.0,957,92.571519
-21.0,763,99.345193
-21.0,790,106.540188
-19.0,1079,116.444372
-18.0,1080,126.358685
-21.0,820,133.756918
-20.0,915,141.979072
-21.0,819,149.379947
-19.0,969,158.185581
-20.0,886,165.741514
-21.0,843,173.078899
-20.0,923,181.219585
-21.0,780,187.858581
-21.0,820,195.088927
-21.0,789,202.073843
-21.0,822,209.478543
-21.0,935,218.211376
-20.0,975,227.008637
-20.0,946,235.321369
-21.0,836,242.372993
-20.0,954,250.925467
-21.0,785,258.12084
-19.0,1038,267.424712
-21.0,884,275.179672
-21.0,972,283.875751
-21.0,822,291.018368
-21.0,877,298.626636
-19.0,993,307.767495
-19.0,1099,317.629696
-17.0,1261,328.789732
-21.0,806,336.074127
-20.0,947,344.271854
-20.0,957,352.634969
-20.0,1064,361.698355
-20.0,876,369.706903
-21.0,824,377.178783
-21.0,757,383.986417
-20.0,836,391.198158
-20.0,886,399.003832
-20.0,936,407.178483
-21.0,1140,417.537261
-21.0,882,425.328625
-21.0,907,433.469779
-20.0,1139,443.496541
-21.0,836,450.786171
-21.0,793,457.710389
-21.0,902,465.329309
-21.0,879,472.853976
-18.0,1190,483.376692
-19.0,1055,492.705469
-20.0,874,499.992998
-21.0,1057,508.98488
-20.0,957,517.037313
-21.0,764,523.560954
-21.0,824,530.467247
-20.0,949,538.436301
-20.0,1048,547.988398
-21.0,1096,557.588225
-20.0,981,566.39713
-20.0,1147,576.513973
-21.0,886,584.41537
-21.0,876,592.159399
-19.0,977,600.893405
-21.0,876,608.879133
-19.0,1144,619.286167
-20.0,964,628.062628
-21.0,941,636.39727
-21.0,813,643.557912
-20.0,1049,652.915349
-18.0,1174,663.492445
-21.0,888,671.468814
-19.0,1109,681.004112
-21.0,944,689.162734
-20.0,1016,698.092288
-16.0,1407,710.972741
-21.0,967,719.58976
-21.0,846,727.294146
-20.0,973,735.959487
-20.0,1065,745.164591
-18.0,1218,755.328213
-20.0,995,763.85297
-21.0,966,772.645359
-21.0,970,780.960495
-21.0,824,788.710415
-21.0,967,797.451291
-20.0,1063,806.913017
-21.0,855,814.467296
-20.0,991,823.407592
-20.0,1095,833.403672
-20.0,1016,842.535074
-21.0,987,851.493815
-19.0,1161,861.526542
-20.0,959,869.804885
-21.0,876,877.734312
-21.0,996,886.515517
-19.0,1192,897.131754
-19.0,1099,907.001218
-21.0,876,914.947512
-20.0,1114,924.816909
-21.0,931,932.618921
-21.0,939,941.094066
-18.0,1301,952.491548
-17.0,1371,964.616429
-21.0,968,972.804085
-20.0,1138,982.657651
-20.0,892,990.352267
-21.0,998,998.447722
-18.0,1244,1009.502636
-19.0,1166,1019.191671
-20.0,983,1027.918838
-19.0,959,1036.556937
-18.0,1220,1046.947702
-17.0,1326,1058.624475
-20.0,1012,1067.63742
-21.0,1124,1077.601193
-21.0,943,1085.83399
-20.0,957,1094.575177
-19.0,1114,1104.461309
-21.0,993,1113.566189
-21.0,847,1121.225737
-19.0,1168,1130.939034
-20.0,984,1139.380188
-20.0,1094,1149.272276
-20.0,1190,1160.373242
-18.0,1376,1172.710444
-19.0,1108,1182.562455
-18.0,1331,1194.204412
-18.0,1230,1205.182908
-20.0,1292,1216.827351
-21.0,1046,1226.084474
-19.0,1114,1235.796855
-20.0,994,1244.597018
-20.0,1122,1254.755186
-18.0,1268,1266.238837
-19.0,1102,1276.2712
-19.0,1196,1286.678742
-19.0,1151,1296.881344
-19.0,1438,1309.761498
-19.0,1066,1318.915703
-20.0,1091,1328.226452
-18.0,1354,1339.945719
-20.0,1044,1349.057119
-18.0,1441,1361.882546
-21.0,1045,1370.694746
-20.0,1235,1381.247316
-17.0,1307,1392.462662
-21.0,919,1400.261848
-20.0,1191,1410.741985
-18.0,1495,1423.670429
-20.0,1277,1434.870363
-19.0,1237,1445.585939
-16.0,1438,1458.382466
-18.0,1557,1471.697706
-18.0,1478,1484.624852
-21.0,976,1493.326705
-18.0,1644,1507.946533
-20.0,1162,1517.77698
-17.0,1567,1530.98889
-16.0,1335,1542.904168
-18.0,1595,1557.204573
-20.0,1118,1566.997466
-20.0,1306,1578.272874
-12.0,2053,1596.19519
-20.0,1162,1606.113329
-19.0,1372,1617.350391
-20.0,1203,1628.148527
-20.0,1201,1638.698665
-20.0,1317,1650.214898
-18.0,1316,1661.393726
-19.0,1184,1671.276555
-20.0,1383,1683.604306
-18.0,1287,1695.202391
-19.0,1111,1704.566642
-16.0,1543,1718.016198
-20.0,1025,1727.151113
-20.0,1204,1737.629775
-16.0,1541,1751.515865
-20.0,1157,1761.866148
-19.0,1293,1773.207726
-15.0,1634,1787.985652
-21.0,1313,1799.473958
-19.0,1399,1811.858861
-20.0,1328,1823.701264
-18.0,1585,1837.789001
-18.0,1388,1849.940865
-21.0,1158,1860.426883
-18.0,1635,1875.247785
-19.0,1935,1892.67832
-17.0,1614,1906.688864
-19.0,1190,1916.918233
-18.0,1331,1928.742486
-18.0,1264,1939.939625
-21.0,1121,1949.419389
-20.0,1236,1960.30031
-19.0,1360,1972.168964
-18.0,1491,1985.418566
-17.0,1603,1999.893897
-21.0,1483,2012.911164
-20.0,1325,2024.693032
-19.0,1551,2038.209887
-19.0,1173,2048.387444
-21.0,1264,2059.581511
-19.0,1332,2071.283662
-17.0,1512,2084.166872
-16.0,1496,2097.389505
-19.0,1313,2109.176333
-16.0,1753,2124.267267
-19.0,1386,2136.307058
-17.0,1502,2149.574937
-20.0,1266,2161.10899
-18.0,1231,2172.178164
-20.0,1225,2183.084352
-19.0,1236,2221.105279
-19.0,1250,2231.959044
-19.0,1629,2246.031524
-19.0,1230,2256.648408
-19.0,1377,2268.407454
-19.0,1533,2282.256917
-17.0,1632,2296.831068
-15.0,1659,2311.534637
-18.0,1478,2324.284578
-15.0,2007,2342.132635
-21.0,1533,2355.649885
-16.0,1785,2371.431092
-18.0,1420,2384.251475
-21.0,1419,2396.473718
-18.0,1311,2408.10641
-17.0,1439,2421.087012
-18.0,1323,2433.018068
-18.0,1364,2445.438213
-15.0,1629,2459.522535
-15.0,1816,2475.345987
-16.0,1671,2490.111024
-16.0,1779,2505.192825
-16.0,1671,2520.303607
-18.0,1391,2532.556685
-18.0,1254,2543.649821
-19.0,1151,2553.803039
-17.0,1229,2564.216861
-14.0,1819,2579.834304
-15.0,1603,2594.097763
-19.0,1508,2607.49174
-16.0,1687,2621.95309
-16.0,1574,2636.062981
-15.0,1705,2650.838481
-18.0,1346,2662.417629
-19.0,1471,2675.400444
-19.0,1507,2688.858108
-17.0,1562,2702.681557
-18.0,1703,2716.917781
-17.0,1573,2730.223033
-17.0,1724,2745.739511
-13.0,1739,2761.094407
-16.0,2002,2778.400154
-14.0,2074,2796.909162
-16.0,1667,2811.043938
-16.0,1939,2828.035971
-17.0,1679,2843.048245
-18.0,1673,2858.038382
-17.0,1718,2873.114274
-12.0,1984,2890.469546
-17.0,1475,2903.178815
-13.0,1935,2920.602337
-13.0,1881,2936.74467
-16.0,1623,2950.670173
-15.0,1566,2964.481438
-11.0,2120,2982.541608
-13.0,1996,3000.049597
-15.0,1971,3018.035682
-18.0,1795,3033.91465
-12.0,2281,3054.12276
-13.0,1820,3070.201822
-12.0,2581,3092.586289
-13.0,1936,3109.590971
-17.0,2343,3129.91989
-9.0,2683,3153.825768
-15.0,1993,3171.815487
-16.0,1959,3189.046518
-9.0,2258,3208.418961
-15.0,2004,3226.044589
-10.0,2435,3247.782845
-19.0,1243,3258.40168
-12.0,2105,3276.683439
-10.0,2394,3297.726289
-14.0,1828,3313.653131
-11.0,1951,3330.758624
-12.0,1909,3347.836081
-16.0,1797,3364.012099
-12.0,2050,3382.061429
-12.0,2049,3400.34114
-9.0,2115,3418.284256
-9.0,2647,3441.00044
-12.0,2344,3461.269447
