timestamp,rapl_power_draw_absolute,rapl_estimated_attributable_power_draw,nvidia_draw_absolute,nvidia_estimated_attributable_power_draw,cpu_time_seconds,average_gpu_estimated_utilization_absolute,average_gpu_estimated_utilization_relative,average_relative_cpu_utilization,absolute_cpu_utilization,per_gpu_performance_state,relative_mem_usage,absolute_mem_usage,absolute_mem_percent_usage,hz_actual,realtime_carbon_intensity
1570707795.312802,92.08578744878959,6.401745265095219,149.65,149.65,7.3,0.828,1.0,0.06538969617053655,0.9886406660494597,0::P0,0.09009406138231318,386482176,0.007307554819528068,2.6000 GHz,332.6515340483911
1570707805.839488,94.58554865991269,9.780921486317856,155.25,155.25,18.43,0.9875,1.0,0.05970982143192288,1.0683832887046478,0::P0,0.31988518728000737,1646444544,0.02596174836713272,1.4891 GHz,332.6515340483911
1570707817.742174,63.13553836134946,17.082077795702805,150.32,150.32,31.24,0.99,1.0,0.25870646757058974,1.038974701477694,0::P0,0.3198519483303894,1646555136,0.025963385630767943,1.2468 GHz,332.6515340483911
1570707828.337497,73.34668581849067,19.652809742329516,140.14,140.14,42.89,0.99,1.0,0.252927400384532,1.0783544431947578,0::P0,0.31984028598448916,1646563328,0.02596347658985879,1.2000 GHz,332.6515340483911
1570707838.842466,68.35545667508083,17.84260034657023,156.84,156.84,54.3,0.99,1.0,0.24711316396803357,1.0684045898994836,0::P0,0.3179276588745855,1646567424,0.025963537229252688,2.2474 GHz,332.6515340483911
1570707849.31942,91.52629553194612,9.638705310854625,151.37,151.37,65.67,0.9875,1.0,0.06521739130962954,1.0783117852269934,0::P0,0.32013197772943575,1646571520,0.025963597868646583,2.6073 GHz,332.6515340483911
1570707860.896164,95.79876356006058,10.493707560765209,158.91,158.91,78.15,0.9875,1.0,0.06835443037249432,1.078404417332869,0::P0,0.32017099305708746,1646616576,0.02596432554137335,1.8971 GHz,332.6515340483911
1570707871.326512,95.20810776394802,9.977513070128666,159.28,159.28,89.37,0.986,1.0,0.06203331418671747,1.078410219903783,0::P0,0.31791928705608063,1646620672,0.025964386180767244,1.6253 GHz,332.6515340483911
1570707881.780762,59.5754571444252,17.19816299265448,148.8,148.8,100.78999999999999,0.99,1.0,0.2809278349922066,1.0883329845068073,0::P0,0.3201505544055417,1646620672,0.025964386180767244,1.5983 GHz,332.6515340483911
1570707893.267171,63.066479355423084,17.732259660077204,154.78,154.78,113.24,0.99,1.0,0.27179487176890865,1.0583748974495748,0::P0,0.3201171942169583,1646624768,0.025964446820161143,1.2946 GHz,332.6515340483911
1570707904.749357,73.00491589227263,20.55714124201402,156.87,156.87,125.76,0.986,1.0,0.2711442786371162,1.088329428213651,0::P0,0.31981882304257475,1646575616,0.025963673667888956,2.4000 GHz,332.6515340483911
1570707916.316801,96.85703117199512,10.595156894258388,149.75,149.75,138.21,0.9825,1.0,0.06832694763664232,1.068379197462317,0::P0,0.31980449032516356,1646575616,0.025963673667888956,2.6000 GHz,332.6515340483911
1570707927.808042,111.57850092396899,8.788768644342525,150.23,150.23,150.49,0.985,1.0,0.03952715182951754,1.0685713308971896,0::P0,0.31978194926327447,1646579712,0.02596373430728285,2.6000 GHz,332.6515340483911
1570707938.354967,112.00730152324022,8.88915505674768,158.43,158.43,161.81,0.986,1.0,0.0409961685814975,1.0685892206015752,0::P0,0.31981431450347925,1646579712,0.02596373430728285,2.6000 GHz,332.6515340483911
1570707948.786285,86.6952701765174,11.246191076880258,140.81,140.81,173.06,0.99,1.0,0.08146487295104468,1.0883688381787882,0::P0,0.3185985387392589,1646583808,0.02596379494667675,2.6755 GHz,332.6515340483911
1570707959.319308,112.95393783708712,9.089508620168267,152.28,152.28,184.34,0.9875,1.0,0.04231536926179121,1.0585719585480156,0::P0,0.3197319519036041,1646583808,0.02596379494667675,1.7971 GHz,332.6515340483911
1570707970.749874,99.69301610899143,10.54588255215461,162.49,162.49,196.63,0.982,1.0,0.06704260652035851,1.0684579896877309,0::P0,0.3197533526379562,1646587904,0.025963855586070644,1.2633 GHz,332.6515340483911
1570707981.81474,62.72737747588242,17.713413482849592,163.41,163.41,208.67999999999998,0.99,1.0,0.27319587636210324,1.0583956639972183,0::P0,0.3197454727667772,1646587904,0.025963855586070644,1.2001 GHz,332.6515340483911
1570707992.313384,68.99745911733768,13.333052123050306,160.42,160.42,220.11999999999998,0.985,1.0,0.16109422492218625,1.0584834397115737,0::P0,0.31971873185720606,1646587904,0.025963855586070644,2.4001 GHz,332.6515340483911
1570708002.716329,96.99465562551941,10.32303940014165,147.82,147.82,231.32,0.99,1.0,0.06532356532772515,1.0695336150478223,0::P0,0.31967758541651425,1646592000,0.025963916225464543,2.6796 GHz,332.6515340483911
1570708013.488651,96.97990910524982,10.491143140571388,157.67,157.67,242.9,0.99,1.0,0.06743002544241557,1.058574699525014,0::P0,0.31868337877863717,1646592000,0.025963916225464543,1.8422 GHz,332.6515340483911
1570708024.154497,99.4369400320588,11.079713123347226,152.03,152.03,254.38,0.985,1.0,0.07211538461280124,1.0484460110268332,0::P0,0.3196380007569723,1646596096,0.02596397686485844,1.8410 GHz,332.6515340483911
1570708035.749242,69.85192266380236,18.060041811039614,164.1,164.1,267.06,0.99,1.0,0.24384787473458427,1.0883743663276764,0::P0,0.31760240554989955,1646596096,0.02596397686485844,1.2001 GHz,332.6515340483911
1570708046.260257,67.00272592725703,18.17654014117467,152.12,152.12,278.59000000000003,0.99,1.0,0.2595238095122974,1.0883404129231893,0::P0,0.31972849247780905,1646600192,0.025964037504252337,1.2012 GHz,333.9811631036029
