#{"t_start": 1572369127.6209533, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,895,306.253264
-16.0,1677,647.717705
-11.0,2262,1019.771268
-3.0,2896,1438.040653
12.0,2451,1793.768298
18.0,1723,2164.208781
20.0,1563,2498.496792
11.0,2414,2920.24927
19.0,1696,3255.125096
19.0,2050,3664.034482
18.0,1887,4032.81167
17.0,1955,4430.158993
20.0,2001,4779.012503
18.0,1728,5110.604192
12.0,2600,5543.32052
20.0,1624,5886.504787
18.0,1996,6343.465744
19.0,2113,6734.16497
19.0,2154,7138.150852
18.0,2128,7529.040338
20.0,1566,7897.520957
18.0,2694,8313.583181
20.0,1717,8624.502704
20.0,2091,8998.57047
20.0,2127,9386.53159
20.0,2126,9797.3386
20.0,2128,10158.968047
21.0,2595,10579.366945
21.0,2596,10978.699164
20.0,2605,11339.625688
21.0,2595,11701.30133
20.0,2072,12070.545343
21.0,2592,12471.858929
21.0,2629,12842.230795
20.0,2070,13177.262431
20.0,2394,13555.601173
20.0,2073,13902.72994
20.0,2647,14311.889623
21.0,2051,14649.840225
