total_timesteps,fps,policy_entropy,approxkl,clipfrac,value_loss,explained_variance,time_elapsed,serial_timesteps,policy_loss,n_updates,ep_len_mean,ep_reward_mean
1024,334,1.7895898,0.002292078,0.033691406,0.16677804,0.004371345043182373,3.5762786865234375e-06,128,-0.0033327625,1,,
2048,991,1.7882742,0.0005219093,0.0,0.06719846,-0.004239916801452637,3.067821979522705,256,-0.0011482851,2,,
3072,926,1.788531,0.001389863,0.05908203,0.060865052,0.0005112290382385254,4.101958274841309,384,-0.00460421,3,,
4096,958,1.788538,0.00083964516,0.049072266,0.060207423,0.005259335041046143,5.209094047546387,512,-0.0016034313,4,,
5120,960,1.7869706,9.607022e-05,0.0,0.058980633,0.00622481107711792,6.279536962509155,640,0.00015167522,5,,
6144,945,1.7869738,0.00010718499,0.0,0.058192644,0.007173478603363037,7.347554683685303,768,-5.8371807e-05,6,,
7168,858,1.7889227,0.00085950433,0.040771484,0.047983304,-0.005110383033752441,8.433740139007568,896,-0.002675582,7,847.5,-21.0
8192,774,1.7901559,0.00026867737,0.0,0.04743465,0.0007960200309753418,9.628307819366455,1024,-0.00047757113,8,916.4285714285714,-20.571428571428573
9216,872,1.7905635,9.51269e-05,0.0,0.053834572,0.027311503887176514,10.95441722869873,1152,-0.00028719511,9,933.25,-20.625
10240,962,1.790016,0.00053206936,0.0,0.059894104,0.0056490302085876465,12.130666732788086,1280,-0.0014297091,10,933.25,-20.625
11264,1075,1.7851049,0.0007971653,0.059570312,0.063758425,0.023687779903411865,13.197322130203247,1408,-0.0010304031,11,933.25,-20.625
12288,1029,1.7807156,0.0007839765,0.026367188,0.053969458,0.029624342918395996,14.151063442230225,1536,-0.0026760618,12,933.25,-20.625
13312,960,1.7587516,0.0022917448,0.14941406,0.06250494,0.027643680572509766,15.146579027175903,1664,-0.0027462621,13,918.5555555555555,-20.666666666666668
14336,870,1.7574694,0.00041835813,0.0,0.05429403,0.03592479228973389,16.21508264541626,1792,-0.0010069413,14,908.6363636363636,-20.727272727272727
15360,892,1.7415736,0.0021440927,0.13891602,0.05670536,0.04914724826812744,17.393978595733643,1920,-0.0033726618,15,908.6153846153846,-20.615384615384617
16384,833,1.7516506,0.0019348792,0.12475586,0.06320352,0.04476064443588257,18.543862104415894,2048,-0.0013724779,16,917.2,-20.6
17408,985,1.749441,0.0008795522,0.016601562,0.05360301,0.057514846324920654,19.77462100982666,2176,-0.002484796,17,936.0625,-20.5
18432,1039,1.7434454,0.0005630055,0.0,0.053899813,0.04859501123428345,20.81562829017639,2304,-0.00039736542,18,936.0625,-20.5
19456,1076,1.7391775,0.0007829736,0.049316406,0.040797524,0.08879905939102173,21.801995515823364,2432,-0.0013044558,19,936.0625,-20.5
20480,1061,1.7319607,0.0009527972,0.024169922,0.061260313,0.09736567735671997,22.754594564437866,2560,-0.0005738799,20,932.8235294117648,-20.529411764705884
21504,877,1.7196517,0.00058335555,0.01171875,0.05647586,0.10796248912811279,23.72157120704651,2688,-0.0019794195,21,926.4736842105264,-20.526315789473685
22528,897,1.7160163,0.0004580649,0.048095703,0.062483355,0.08444195985794067,24.8905508518219,2816,-0.00088986073,22,924.2857142857143,-20.523809523809526
23552,809,1.730394,0.0013239773,0.067871094,0.06683832,0.08097571134567261,26.034571886062622,2944,-0.0024411338,23,924.2608695652174,-20.47826086956522
24576,941,1.719836,0.0015038641,0.10839844,0.049558565,0.10410994291305542,27.302299737930298,3072,-0.002601387,24,923.3333333333334,-20.458333333333332
25600,924,1.7140807,0.0008443092,0.028320312,0.04298279,0.1364925503730774,28.392057418823242,3200,-0.0023367847,25,923.3333333333334,-20.458333333333332
26624,1017,1.6983215,0.0018742515,0.1472168,0.040585253,0.187205970287323,29.501147031784058,3328,-0.0023836538,26,923.3333333333334,-20.458333333333332
27648,1060,1.7201796,0.000978258,0.013427734,0.0380501,0.19010299444198608,30.509718656539917,3456,-0.0017341571,27,923.3333333333334,-20.458333333333332
28672,1005,1.7425376,0.0017208611,0.11206055,0.054879542,0.21219271421432495,31.47675848007202,3584,-0.0026801883,28,922.8148148148148,-20.48148148148148
29696,1016,1.7456374,0.0003615651,0.024414062,0.048950672,0.23852038383483887,32.4964759349823,3712,-0.00075192633,29,924.448275862069,-20.448275862068964
30720,920,1.7458644,0.0004703854,0.0126953125,0.049615614,0.2866121530532837,33.50712847709656,3840,-0.00068758574,30,919.516129032258,-20.483870967741936
31744,1112,1.7343479,0.0006668294,0.04345703,0.061625928,0.1052696704864502,34.62175464630127,3968,-0.0011353497,31,919.516129032258,-20.483870967741936
32768,1066,1.711696,0.0012190994,0.048095703,0.043160588,0.41153937578201294,35.54399561882019,4096,-0.002035339,32,923.125,-20.5
33792,978,1.7024604,0.0012136444,0.059814453,0.027391309,0.5223005414009094,36.50607347488403,4224,-0.0025705467,33,923.125,-20.5
34816,1010,1.692392,0.00073960173,0.028564453,0.031346228,0.5350558757781982,37.55334973335266,4352,-0.0007327851,34,915.3823529411765,-20.529411764705884
35840,1030,1.7062008,0.0013869884,0.06982422,0.03891276,0.4369546175003052,38.5686240196228,4480,-0.0015769502,35,915.3823529411765,-20.529411764705884
36864,1009,1.7289784,0.0014602463,0.09667969,0.04498036,0.49317818880081177,39.563735246658325,4608,-0.0027409145,36,915.5945945945946,-20.513513513513512
37888,829,1.7349544,0.0003501295,0.0014648438,0.030999769,0.5273996591567993,40.580256938934326,4736,-0.0005124394,37,915.7948717948718,-20.512820512820515
38912,926,1.759033,0.0019507977,0.08642578,0.04367433,0.3776395320892334,41.816158294677734,4864,-0.0023815322,38,915.7948717948718,-20.512820512820515
39936,1050,1.7591971,0.00017925119,0.00024414062,0.039824706,0.5307347178459167,42.92333364486694,4992,8.947239e-05,39,915.075,-20.525
