#{"t_start": 1572469295.3229058, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,909,265.574182
-17.0,1440,574.171928
-17.0,1706,904.876883
-7.0,3475,1372.819165
-16.0,2637,1734.247377
1.0,4843,2294.009323
16.0,2421,2649.681403
19.0,2709,3084.404257
20.0,2172,3485.15435
15.0,2600,4045.33253
20.0,2050,4451.488327
20.0,2347,4851.247602
20.0,2068,5227.590321
21.0,2011,5660.307709
15.0,3046,6097.075099
19.0,2263,6434.629445
20.0,2051,6792.17795
20.0,2049,7154.074415
.0,842,135.39557
-20.0,864,140.141587
-21.0,819,144.930947
-21.0,880,150.004433
-21.0,822,159.71409
-20.0,899,166.741285
-20.0,859,176.749294
-20.0,838,181.51774
-21.0,850,186.477001
-18.0,1093,192.816976
-20.0,1062,199.018485
-21.0,820,203.801132
-21.0,776,208.268687
-19.0,989,214.035184
-21.0,865,218.993292
-21.0,999,284.611936
-20.0,926,290.014784
-20.0,956,295.464483
-20.0,840,300.361902
-21.0,886,305.473186
-20.0,892,312.255393
-21.0,877,318.905963
-20.0,1005,331.645415
-20.0,990,337.384457
-20.0,916,342.531115
-21.0,823,347.30286
-21.0,820,351.793661
-20.0,977,357.560675
-21.0,997,363.270217
-21.0,963,368.757915
-18.0,1123,375.335886
-21.0,879,383.243658
-21.0,847,394.144181
-17.0,1275,401.550216
-18.0,1223,408.617785
-20.0,925,413.987038
-21.0,843,418.896183
-20.0,930,424.402077
-21.0,939,434.150816
-21.0,918,445.636865
-20.0,1091,452.40513
-20.0,1051,458.624986
-21.0,789,463.191649
-18.0,1201,469.94594
-20.0,904,475.149125
-20.0,938,480.642224
-19.0,1375,492.465955
-17.0,1522,598.832995
-20.0,1345,606.763218
-18.0,1645,621.41398
-18.0,1761,637.485001
-15.0,2188,650.697707
-21.0,2266,664.576161
-18.0,2031,686.425242
-20.0,1905,697.424824
-20.0,2014,708.905033
-14.0,2544,726.581591
-21.0,2112,745.710656
-11.0,2558,762.413453
-16.0,2604,777.494951
-8.0,3037,803.785141
-18.0,2188,816.412872
-15.0,2295,995.889017
-9.0,2468,1011.081302
-18.0,2044,1022.761144
-12.0,2926,1041.35184
-9.0,3138,1065.309324
-12.0,2963,1082.028223
-10.0,3093,1099.971476
-15.0,2898,1127.298665
-5.0,4077,1150.363448
-14.0,2771,1170.490162
-3.0,3457,1385.600794
-11.0,3096,1404.132839
-7.0,3848,1435.390923
-14.0,2188,1447.959318
-15.0,2843,1464.143615
