serial_timesteps,policy_entropy,n_updates,time_elapsed,fps,clipfrac,value_loss,total_timesteps,approxkl,explained_variance,policy_loss,ep_reward_mean,ep_len_mean
128,1.789482,1,6.9141387939453125e-06,361,0.10424805,0.19164807,1024,0.0022329837,0.0017330646514892578,-0.0039815833,,
256,1.7884201,2,2.8370206356048584,1080,0.041748047,0.06565183,2048,0.000622724,-0.004331350326538086,-0.0014323662,,
384,1.7851745,3,3.7861244678497314,1112,0.0,0.07827613,3072,0.00037045826,-0.006955385208129883,-0.0007076165,,
512,1.7861387,4,4.710803508758545,905,0.03173828,0.07218465,4096,0.00058025774,-0.002284526824951172,-0.0016992523,,
640,1.7812587,5,5.844563722610474,1029,0.0,0.06177073,5120,0.0002975107,0.0027153491973876953,0.00011046007,,
768,1.7847813,6,6.841241359710693,868,0.05102539,0.053909846,6144,0.00077746785,0.014481723308563232,-0.0019640843,,
896,1.788323,7,8.022526979446411,748,0.0,0.050783068,7168,0.00021368766,0.011676371097564697,-0.0005236303,-20.75,833.5
1024,1.7867807,8,9.394170761108398,914,0.0,0.06274818,8192,0.00028337204,0.009562075138092041,-0.00020294831,-20.6,870.6
1152,1.7866035,9,10.515538692474365,845,0.0,0.04879185,9216,0.00024165944,0.015504002571105957,-0.0002648918,-20.285714285714285,927.0
1280,1.7875127,10,11.730509757995605,1061,0.0,0.057771765,10240,0.00030574208,0.02118980884552002,-0.0007515935,-19.875,970.0
1408,1.7889669,11,12.698407649993896,889,0.03540039,0.04811871,11264,0.00058874825,0.02213895320892334,-0.0013602113,-19.875,970.0
1536,1.786155,12,13.85138487815857,930,0.08886719,0.05574586,12288,0.0013923659,0.019556522369384766,-0.0031644173,-19.875,970.0
1664,1.7746216,13,14.954046726226807,1008,0.028076172,0.059639912,13312,0.0009873263,0.04089456796646118,-0.0017360591,-20.0,946.6666666666666
1792,1.7740537,14,15.970217943191528,1027,0.0,0.06307917,14336,0.00045539596,0.025507092475891113,-0.0009650405,-20.09090909090909,932.5454545454545
1920,1.773467,15,16.96907687187195,1083,0.068359375,0.060506135,15360,0.0011091724,0.031928062438964844,-0.0023165098,-20.076923076923077,931.9230769230769
2048,1.7637633,16,17.916107892990112,993,0.0,0.0665459,16384,0.00029615551,0.022756993770599365,0.00035637835,-20.066666666666666,929.8666666666667
2176,1.7725067,17,18.94906497001648,1080,0.048828125,0.056024604,17408,0.0008693739,0.05232876539230347,-0.0016123871,-20.066666666666666,929.8666666666667
2304,1.7821667,18,19.898359298706055,1161,0.00048828125,0.04688291,18432,0.0005235259,0.07762110233306885,-0.001130199,-20.125,932.875
2432,1.78379,19,20.7814040184021,1180,0.0390625,0.041098777,19456,0.0007091856,0.11969625949859619,-0.0017458687,-20.125,932.875
2560,1.7811868,20,21.65041422843933,1197,0.020996094,0.0599212,20480,0.0004759495,0.10463553667068481,-0.00085706415,-20.176470588235293,934.3529411764706
2688,1.7835431,21,22.507089853286743,885,0.0,0.058297735,21504,0.0005067496,0.12821000814437866,-0.0015364012,-20.2,924.05
2816,1.7740788,22,23.665682554244995,871,0.057128906,0.048565812,22528,0.0009441714,0.09696894884109497,-0.00018383222,-20.227272727272727,915.4545454545455
2944,1.7766232,23,24.842480897903442,1093,0.0,0.06081004,23552,0.00027207396,0.06694263219833374,-4.9054623e-05,-20.227272727272727,915.4545454545455
3072,1.7647154,24,25.78060555458069,1110,0.048583984,0.052072596,24576,0.0013095875,0.2228865623474121,-0.0026319027,-20.17391304347826,922.7826086956521
3200,1.7611692,25,26.70454502105713,1037,0.031982422,0.05226801,25600,0.0009371239,0.19419175386428833,-0.001411385,-20.208333333333332,919.75
3328,1.761976,26,27.693974018096924,913,0.0041503906,0.040633287,26624,0.00083842827,0.2683449387550354,-0.00042161447,-20.24,914.16
3456,1.7512606,27,28.817121744155884,985,0.05444336,0.050817296,27648,0.0010528709,0.24631965160369873,-0.0007958391,-20.23076923076923,911.2307692307693
3584,1.7524861,28,29.858758687973022,842,0.0021972656,0.057954457,28672,0.0011869255,0.2831106185913086,-0.0020901402,-20.24137931034483,905.8620689655172
3712,1.7536175,29,31.075849294662476,937,0.05859375,0.039673593,29696,0.0009754971,0.18011897802352905,-0.0006720697,-20.24137931034483,905.8620689655172
3840,1.7548691,30,32.16936016082764,1120,0.051757812,0.052116554,30720,0.0010051001,0.27278023958206177,-0.0020151653,-20.29032258064516,903.8709677419355
3968,1.7424375,31,33.084994077682495,1205,0.025634766,0.033994667,31744,0.0010395623,0.2501717805862427,-0.0009190608,-20.29032258064516,903.8709677419355
4096,1.7448353,32,33.93628811836243,1175,0.03930664,0.061537795,32768,0.0014476333,0.29257214069366455,-0.0016952781,-20.3125,899.9375
4224,1.7333589,33,34.80990266799927,1165,0.011474609,0.038448326,33792,0.0010947699,0.4015243649482727,-0.0006505111,-20.242424242424242,906.8181818181819
4352,1.7227905,34,35.69046139717102,888,0.021240234,0.043225046,34816,0.00070399104,0.37062108516693115,-0.0005861732,-20.264705882352942,904.3823529411765
4480,1.7119676,35,36.845590353012085,881,0.05517578,0.044181615,35840,0.00084158266,0.3011544346809387,-0.001427102,-20.305555555555557,903.25
4608,1.7116791,36,38.008516788482666,1041,0.111328125,0.04649192,36864,0.0018632355,0.4894688129425049,-0.0020617729,-20.27027027027027,905.7297297297297
4736,1.7210078,37,38.99405336380005,982,0.080322266,0.035621867,37888,0.0017901304,0.5665220022201538,-0.0025669849,-20.289473684210527,908.1578947368421
4864,1.7419844,38,40.03859543800354,999,0.03125,0.031832155,38912,0.0009747995,0.7140615880489349,-0.0006938324,-20.28205128205128,911.0
4992,1.7511343,39,41.06462597846985,1052,0.025634766,0.042897172,39936,0.0009737103,0.45815128087997437,-0.0013946865,-20.3,910.25
5120,1.7598864,40,42.04035544395447,1079,0.0061035156,0.04657798,40960,0.00030784516,0.46605056524276733,-0.0006835572,-20.317073170731707,908.7317073170732
5248,1.7613802,41,42.990955114364624,1045,0.0014648438,0.04802473,41984,0.0005025484,0.32834064960479736,-0.0016093927,-20.333333333333332,907.3333333333334
5376,1.756828,42,43.9717493057251,973,0.0,0.054805025,43008,0.000611918,0.28556138277053833,0.00064550654,-20.333333333333332,907.3333333333334
5504,1.7607118,43,45.02536606788635,938,0.050048828,0.033435304,44032,0.0008513188,0.8118188679218292,-0.002285313,-20.34090909090909,909.1590909090909
5632,1.7679985,44,46.119017124176025,807,0.01953125,0.059565015,45056,0.0006298073,0.6285704374313354,-0.0013395193,-20.304347826086957,915.1304347826087
5760,1.7710997,45,47.389288902282715,861,0.0061035156,0.03783345,46080,0.00046666234,0.3185248374938965,-0.0014332635,-20.304347826086957,915.1304347826087
5888,1.7785164,46,48.580302238464355,865,0.06616211,0.032720968,47104,0.0010589692,0.7023877799510956,-0.0023338161,-20.270833333333332,916.8125
6016,1.7746701,47,49.764628648757935,851,0.00390625,0.039294448,48128,0.00054984796,0.5080269873142242,-0.0009835624,-20.26530612244898,915.1836734693877
6144,1.7652489,48,50.97076106071472,974,0.015625,0.034082826,49152,0.0005704096,0.6042824387550354,-0.00061172084,-20.26,918.34
6272,1.7733191,49,52.02326846122742,862,0.022216797,0.029488716,50176,0.00092447636,0.6497318148612976,-0.00093416823,-20.274509803921568,916.1960784313726
6400,1.7703328,50,53.21169996261597,890,0.061279297,0.03763098,51200,0.0011844299,0.7208229005336761,-0.0015220573,-20.28301886792453,914.3018867924528
6528,1.7709944,51,54.36407732963562,808,0.00048828125,0.05541023,52224,0.0005434817,0.4632869362831116,-0.00052735826,-20.296296296296298,913.0925925925926
6656,1.7644442,52,55.63221335411072,943,0.088134766,0.044519275,53248,0.0010795466,0.26150667667388916,-0.0015789956,-20.296296296296298,913.0925925925926
6784,1.7707896,53,56.71894073486328,858,0.075927734,0.04067278,54272,0.0015597452,0.4906458854675293,-0.0021123732,-20.30909090909091,911.9272727272727
6912,1.7592629,54,57.91359496116638,939,0.055664062,0.028584959,55296,0.0014944852,0.5022621154785156,-0.0014572428,-20.30909090909091,911.9272727272727
7040,1.7635537,55,59.00640845298767,838,0.057373047,0.021272141,56320,0.001311546,0.8528676480054855,-0.0023954464,-20.31578947368421,917.5263157894736
7168,1.7622664,56,60.22974133491516,919,0.075927734,0.051040307,57344,0.0012168941,0.5225794613361359,-0.0015588023,-20.333333333333332,915.15
7296,1.7596656,57,61.34719133377075,954,0.060302734,0.03785096,58368,0.0014157065,0.5495702922344208,-0.0027552545,-20.327868852459016,913.8852459016393
7424,1.7613089,58,62.4216845035553,1036,0.05444336,0.01398583,59392,0.0010372013,0.7185935080051422,-0.001927729,-20.327868852459016,913.8852459016393
7552,1.7555575,59,63.41073393821716,845,0.07104492,0.025036791,60416,0.0011556768,0.8063973486423492,-0.0014190979,-20.3015873015873,913.3333333333334
7680,1.7478867,60,64.62310028076172,846,0.12182617,0.029448235,61440,0.0020953205,0.5181006789207458,-0.0033319737,-20.3015873015873,913.3333333333334
7808,1.749041,61,65.83573007583618,912,0.042236328,0.021576159,62464,0.0007922049,0.8027630001306534,-0.0011733343,-20.307692307692307,910.2461538461539
7936,1.75422,62,66.96102547645569,955,0.087646484,0.038959727,63488,0.0015190548,0.767681822180748,-0.0033693225,-20.307692307692307,910.2461538461539
