#{"t_start": 1572469295.4594698, "env_id": "PongNoFrameskip-v4"}
r,l,t--19.0,1078,274.457378
-19.0,1368,570.102176
-3.0,2548,950.02905
-8.0,3543,1375.975855
-11.0,3569,1781.676
-14.0,3143,2205.623797
18.0,2239,2640.588715
19.0,2444,3067.727215
16.0,2637,3507.827574
15.0,2290,4031.246598
15.0,3064,4504.593423
18.0,2305,4848.433095
19.0,2203,5234.786707
20.0,2074,5663.065183
18.0,2287,6054.657617
21.0,2013,6420.047261
21.0,2015,6790.054302
19.0,2218,7162.180854
133.398631
-20.0,910,138.589816
-20.0,1031,144.486649
-21.0,780,148.915531
-20.0,833,157.822983
-20.0,957,165.611949
-21.0,791,175.824256
-20.0,838,180.62852
-21.0,778,185.09183
-21.0,804,189.722491
-19.0,1187,196.749863
-19.0,1023,202.737973
-20.0,891,207.882703
-20.0,930,213.161464
-21.0,964,218.670848
-21.0,779,282.072475
-21.0,823,287.858866
-20.0,840,292.693258
-20.0,913,297.933419
-21.0,820,302.665895
-21.0,895,307.961987
-20.0,957,316.557158
-20.0,944,326.872145
-20.0,945,334.444252
-21.0,925,339.70481
-20.0,895,344.861324
-21.0,791,349.258378
-19.0,1004,355.082402
-20.0,1283,362.484597
-20.0,1093,368.754433
-21.0,964,374.334191
-19.0,1108,384.669518
-19.0,1093,395.807405
-19.0,1094,402.344563
-20.0,898,407.585123
-20.0,967,413.161908
-20.0,896,418.434722
-19.0,991,424.089015
-20.0,1036,435.437627
-20.0,1123,447.242238
-18.0,1029,453.548802
-19.0,1112,460.121039
-20.0,1111,466.48335
-21.0,823,471.271398
-19.0,1116,477.593188
-20.0,1163,486.7498
-18.0,1491,501.809775
-18.0,1647,603.917212
-18.0,1712,617.629727
-18.0,1881,635.816046
-15.0,1920,647.417993
-16.0,2307,661.464723
-19.0,1860,679.545612
-17.0,2171,695.160053
-20.0,1894,705.877457
-18.0,2427,721.9057
-17.0,2480,744.098242
-19.0,2167,758.616757
-18.0,1925,769.724533
-7.0,2623,786.732758
-13.0,2527,808.199587
-14.0,2344,980.142818
-15.0,2145,1001.333512
-9.0,2347,1014.676154
-17.0,1522,1023.471485
-15.0,2647,1040.524164
-12.0,2270,1059.363837
-12.0,3486,1079.44743
-10.0,2861,1095.681325
-6.0,3634,1127.370021
-9.0,3119,1145.043994
-8.0,3138,1163.637089
-10.0,3326,1191.673866
-9.0,3178,1400.551553
-5.0,3367,1428.907645
-5.0,3634,1449.971781
-1.0,4097,1475.274525
-4.0,4286,1510.619839
-9.0,3331,1529.419158
-11.0,3580,1558.689968
-1.0,3958,1581.640842
-17.0,2018,1598.185094
-12.0,3043,1837.668522
-18.0,3197,1856.583917
-2.0,4874,1893.736969
-14.0,3187,1911.677675
-8.0,4048,1946.037792
-5.0,3952,1971.418218
-4.0,4122,1994.684966
2.0,4440,2031.611382
13.0,3136,2320.759885
14.0,2842,2336.812446
11.0,3250,2369.984648
8.0,3617,2390.213575
17.0,2432,2409.279206
17.0,2276,2427.212919
14.0,2956,2446.753277
16.0,3157,2476.419044
16.0,2777,2492.051748
10.0,3287,2510.595725
16.0,2664,2722.332009
11.0,3163,2752.066746
19.0,2205,2764.531308
9.0,2953,2785.572553
14.0,3189,2811.145446
19.0,2169,2823.196017
18.0,2339,2839.38968
21.0,2014,2857.980261
21.0,2014,2869.169991
19.0,2360,2882.542648
20.0,2072,2894.213045
21.0,2011,2908.361464
-2.0,4506,2941.15593
16.0,2451,3169.0436
16.0,2911,3185.254791
-6.0,3326,3211.160452
18.0,2423,3232.067433
8.0,3680,3252.865803
13.0,3254,3274.393044
19.0,2299,3297.570775
15.0,2416,3312.563054
19.0,2184,3324.944841
21.0,2015,3336.368475
15.0,2954,3363.76496
21.0,2014,3583.909574
18.0,2470,3597.86432
12.0,2702,3621.334121
15.0,3007,3645.642052
20.0,2228,3658.370836
17.0,2418,3682.286689
20.0,2152,3695.86559
18.0,2367,3709.069172
21.0,2010,3720.608283
15.0,2557,3745.319828
