explained_variance,total_timesteps,policy_entropy,fps,value_loss,nupdates,ep_reward_mean,ep_len_mean
-21.56378746032715,80,1.7917524576187134,39,0.0016683207359164953,1,,
-0.0011470317840576172,8000,1.7917143106460571,1085,0.11587391048669815,100,,
-0.15557587146759033,16000,1.7913925647735596,1185,0.0028326630126684904,200,-20.5,850.7857142857143
-0.2370535135269165,24000,1.7907006740570068,1245,0.004694258328527212,300,-20.4375,872.6875
0.005063176155090332,32000,1.7891349792480469,1255,0.11131049692630768,400,-20.53125,868.21875
-0.018123507499694824,40000,1.7805664539337158,1245,0.06846373528242111,500,-20.555555555555557,863.7222222222222
-0.010887861251831055,48000,1.7769527435302734,1245,0.04810168594121933,600,-20.574468085106382,874.8936170212766
-1.234410047531128,56000,1.7837231159210205,1249,0.00955784972757101,700,-20.517857142857142,882.1607142857143
0.07459086179733276,64000,1.7892814874649048,1249,0.0034089188557118177,800,-20.453125,896.03125
0.02326267957687378,72000,1.7630609273910522,1256,0.10527406632900238,900,-20.416666666666668,904.8333333333334
-0.11083793640136719,80000,1.6746275424957275,1261,0.016078026965260506,1000,-20.40740740740741,906.9135802469136
0.04347485303878784,88000,1.766943335533142,1256,0.06326150894165039,1100,-20.41111111111111,902.9222222222222
0.08197754621505737,96000,1.7704737186431885,1253,0.07263315469026566,1200,-20.422680412371133,903.4226804123712
-0.007070779800415039,104000,1.779711365699768,1252,0.09135796129703522,1300,-20.41,909.84
0.24375158548355103,112000,1.7554763555526733,1254,0.05347340181469917,1400,-20.44,905.33
0.4300423860549927,120000,1.7749792337417603,1252,0.005077955313026905,1500,-20.37,913.25
0.6470359861850739,128000,1.5966992378234863,1250,0.01174193900078535,1600,-20.39,907.77
0.43298792839050293,136000,1.6850582361221313,1246,0.0490059033036232,1700,-20.38,910.22
0.5455205142498016,144000,1.7582128047943115,1244,0.04811197519302368,1800,-20.41,901.01
0.024787724018096924,152000,1.7825736999511719,1244,0.061291784048080444,1900,-20.43,895.57
0.12006968259811401,160000,1.788207769393921,1243,0.018618769943714142,2000,-20.46,891.53
0.08775204420089722,168000,1.7901811599731445,1240,0.09531683474779129,2100,-20.44,894.98
-0.05136573314666748,176000,1.7863132953643799,1239,0.09529735147953033,2200,-20.44,897.55
0.3353368043899536,184000,1.7877132892608643,1238,0.05717264488339424,2300,-20.42,905.5
0.4385676980018616,192000,1.7886241674423218,1237,0.05408569425344467,2400,-20.4,910.79
0.6077158153057098,200000,1.7876365184783936,1239,0.04627815634012222,2500,-20.38,912.64
0.2917534112930298,208000,1.7895393371582031,1237,0.051817379891872406,2600,-20.37,912.36
0.7060017883777618,216000,1.7840133905410767,1236,0.01742364652454853,2700,-20.32,916.06
0.7887764871120453,224000,1.7859601974487305,1238,0.02068755030632019,2800,-20.24,920.73
0.377117395401001,232000,1.788633108139038,1238,0.12813718616962433,2900,-20.23,921.44
0.4776543974876404,240000,1.7886390686035156,1239,0.10032112896442413,3000,-20.21,925.11
0.5498998165130615,248000,1.7815097570419312,1239,0.04562251642346382,3100,-20.21,922.34
0.737462967634201,256000,1.7747316360473633,1152,0.04857098311185837,3200,-20.1,929.28
0.6939474642276764,264000,1.7866586446762085,1155,0.057256393134593964,3300,-20.14,925.77
0.2976893186569214,272000,1.7803194522857666,1158,0.07270477712154388,3400,-20.15,921.88
