#{"t_start": 1572417113.711691, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,2004,2211.397336
19.0,1709,4480.112822
20.0,1701,6712.537739
20.0,1720,8944.993342
21.0,1641,11167.610161
20.0,1669,13395.223508
21.0,1636,15621.222145
21.0,1629,17851.022266
21.0,1630,20076.727307
21.0,1630,22302.565629
21.0,1636,24521.018436
21.0,1631,26747.822891
21.0,1626,28978.48542
21.0,1628,31351.51793
21.0,1630,33732.835253
21.0,1634,36111.916197
21.0,1633,38497.764099
21.0,1632,40867.49955
21.0,1634,43261.179321
