#{"t_start": 1572417112.568675, "env_id": "PongNoFrameskip-v4"}
r,l,t
-11.0,2658,2243.104067
20.0,1688,4479.987508
20.0,1694,6713.09931
20.0,1674,8943.944756
21.0,1640,11168.62595
20.0,1769,13401.01388
21.0,1626,15621.624233
21.0,1625,17851.91185
21.0,1630,20077.83909
21.0,1630,22303.687301
21.0,1636,24522.143473
21.0,1628,26748.71282
21.0,1628,28979.723026
21.0,1629,31352.765596
21.0,1626,33733.60146
21.0,1635,36113.136445
21.0,1630,38498.681484
21.0,1628,40868.302836
21.0,1636,43262.536826

-19.0,929,132.902801
-20.0,994,141.678429
-21.0,760,148.34871
-21.0,1057,157.635447
-19.0,1088,167.196733
-21.0,908,174.860241
-21.0,898,182.359089
-21.0,786,189.339547
-21.0,822,196.514541
-21.0,886,204.108835
-20.0,913,212.069469
-21.0,837,219.165654
-18.0,1206,229.899883
-19.0,935,237.644941
-20.0,864,245.018918
-20.0,1008,253.465984
-21.0,1008,262.164143
-21.0,787,269.009838
-20.0,961,277.816086
-20.0,1004,286.389985
-21.0,759,292.970236
-21.0,791,299.66418
-20.0,942,307.895432
-18.0,1055,317.101637
-20.0,962,325.418453
-21.0,776,332.215477
-21.0,788,339.25109
-21.0,849,346.570368
-21.0,787,353.118219
-21.0,777,359.831596
-20.0,918,367.779026
-20.0,978,376.584437
-21.0,820,384.088937
-21.0,856,391.551369
-21.0,910,398.910913
-21.0,823,406.240799
-21.0,901,414.013533
-20.0,868,421.80108
-21.0,912,430.150773
-19.0,1144,439.714782
-21.0,948,447.774349
-21.0,911,455.624996
-19.0,1096,464.837829
-20.0,914,472.929431
-21.0,985,481.719441
-21.0,1005,490.172356
-20.0,947,498.355449
-21.0,761,504.933155
-19.0,1060,514.118868
-21.0,886,521.868399
-20.0,1011,530.545345
-21.0,849,538.006569
-20.0,896,545.867455
-21.0,906,553.204277
-21.0,817,560.566481
-21.0,788,567.436361
-21.0,842,575.113729
-20.0,911,582.81923
-20.0,898,590.550552
-20.0,925,598.541056
-20.0,872,606.141114
-21.0,894,613.794845
-18.0,1047,622.515917
-18.0,1378,634.408479
-21.0,961,642.67124
-20.0,1036,651.607022
-20.0,927,659.428748
-21.0,886,667.329881
-21.0,808,674.56168
-21.0,900,682.451073
-20.0,1110,692.097532
-20.0,945,700.432955
-18.0,1085,709.646019
-21.0,970,717.885735
-21.0,908,725.465587
-19.0,1058,734.347199
-21.0,1020,743.06337
-20.0,968,751.186892
-19.0,930,758.579956
-19.0,1147,768.324018
-20.0,924,776.478656
-20.0,1032,785.315706
-20.0,997,793.846349
-19.0,1112,803.368536
-20.0,1045,812.132338
-18.0,1133,821.941136
-20.0,937,829.937031
-21.0,1130,839.190469
-19.0,1269,850.092339
-21.0,1014,858.449697
-21.0,1149,868.396742
-21.0,944,876.446367
-19.0,1174,886.617528
-21.0,987,895.182426
-21.0,1001,904.147219
-21.0,865,911.614215
-21.0,998,920.398834
-20.0,1101,929.899135
-20.0,998,938.303256
-19.0,1205,948.766361
-21.0,819,955.877841
-21.0,916,963.626882
-20.0,926,971.310137
-20.0,1067,980.697351
-21.0,940,988.686338
-21.0,972,997.206674
-21.0,1063,1005.985735
-20.0,1015,1014.815133
-20.0,948,1023.143875
-17.0,1263,1033.647165
-20.0,1004,1042.604171
-20.0,1044,1051.62682
-19.0,1139,1061.305869
-20.0,977,1069.540569
-19.0,1338,1081.394888
-19.0,1457,1093.601959
-21.0,896,1101.379231
-20.0,1361,1113.367271
-19.0,1285,1124.398467
-20.0,976,1132.877507
-19.0,1266,1143.626866
-19.0,1196,1154.023239
-21.0,1280,1167.823501
-16.0,1396,1179.807185
-18.0,1351,1191.027922
-16.0,1362,1202.805583
-21.0,965,1211.344077
-19.0,1344,1222.880204
-19.0,998,1231.549517
-17.0,1533,1244.898968
-17.0,1560,1258.38711
-18.0,1507,1271.033485
-19.0,1468,1283.691374
-20.0,1248,1293.965831
-20.0,1292,1304.981122
-21.0,1139,1315.209528
-20.0,1233,1325.069546
-20.0,1397,1337.003476
-20.0,1209,1347.237867
-17.0,1475,1360.127851
-19.0,1158,1370.017685
-18.0,1351,1381.422426
-21.0,1200,1391.848044
-19.0,1323,1403.077666
-20.0,1535,1416.473174
-20.0,1105,1425.966477
-19.0,1157,1436.087826
-19.0,1387,1448.141968
-20.0,1092,1457.568676
-16.0,1277,1467.950917
-20.0,1149,1478.089983
-15.0,1585,1491.505702
-21.0,1227,1502.077265
-17.0,1268,1512.9768
-15.0,1460,1525.493694
-21.0,1046,1534.515951
-18.0,1392,1547.140611
-20.0,1263,1558.193154
-17.0,1338,1570.344132
-19.0,1173,1580.254546
-20.0,1059,1589.409354
-20.0,1181,1599.147136
-18.0,1212,1609.629891
-18.0,1283,1620.654183
-19.0,1330,1632.382474
-20.0,1205,1642.478633
-19.0,1139,1652.422253
-21.0,1167,1662.553238
-17.0,1353,1673.649482
-15.0,1563,1686.941848
-20.0,1315,1698.207716
-18.0,1306,1709.433433
-17.0,1551,1722.846261
-17.0,1502,1735.678582
-21.0,1218,1746.098534
-19.0,1195,1756.283666
-18.0,1520,1769.447559
-19.0,1259,1779.874417
-19.0,1113,1789.295954
-16.0,1460,1801.951409
-20.0,1108,1811.711207
-18.0,1450,1824.329173
-20.0,987,1833.120294
-21.0,884,1840.660227
-16.0,1706,1855.349612
-14.0,1788,1870.900036
-20.0,1176,1880.854518
-18.0,1538,1894.05126
-19.0,1212,1904.641608
-19.0,1419,1917.209266
-19.0,1253,1928.308961
-20.0,1237,1938.979264
-17.0,1487,1952.32794
-19.0,1319,1963.952361
-21.0,1293,1975.367902
-18.0,1476,1987.861509
-16.0,1920,2004.63467
-17.0,1614,2018.714945
-17.0,1662,2033.059003
-16.0,1884,2049.017319
-21.0,1142,2059.051402
-18.0,1489,2072.292614
-19.0,1386,2084.385133
-17.0,1713,2098.958482
-17.0,1416,2111.371948
-19.0,1426,2248.563962
-19.0,1392,2260.860833
-13.0,1698,2275.850319
-19.0,1489,2289.040955
-17.0,1361,2300.913963
-16.0,1516,2313.689677
-18.0,1583,2327.163344
-19.0,1428,2339.417125
-19.0,1288,2350.904587
-18.0,1602,2364.885506
-14.0,1847,2380.32251
-12.0,1942,2396.900441
-14.0,1577,2410.54795
-20.0,1375,2422.162371
-14.0,2211,2441.149446
-11.0,1824,2456.689966
-16.0,1986,2474.006655
-16.0,1582,2488.138443
-18.0,1595,2502.295874
-14.0,1757,2517.275268
-18.0,1345,2528.945004
-16.0,1730,2543.978236
-16.0,1565,2557.336086
-15.0,1515,2570.358715
-16.0,1662,2583.639457
-17.0,1392,2593.855605
-16.0,1794,2609.351317
-12.0,2007,2626.414234
-17.0,1941,2643.229719
-19.0,1593,2656.84115
-19.0,1318,2668.278698
-18.0,1605,2682.257104
-18.0,1529,2695.09001
-18.0,1514,2708.001326
-17.0,1460,2720.663275
-18.0,1492,2733.598593
-10.0,2309,2753.923278
-17.0,1839,2770.507038
-13.0,1676,2784.912477
-18.0,1423,2796.948352
-18.0,1720,2812.257701
-17.0,1401,2824.014395
-19.0,1620,2838.364364
-17.0,1373,2850.123431
-15.0,1887,2866.055851
-18.0,1698,2880.350266
-18.0,1748,2895.124118
-20.0,1312,2906.508045
-15.0,1734,2921.12813
-14.0,1661,2935.535678
-13.0,1963,2952.301599
-13.0,1883,2968.800232
-10.0,2161,2988.025874
-12.0,2067,3006.138026
-14.0,1562,3019.625615
-19.0,1707,3034.42823
-11.0,2014,3051.568705
-17.0,1704,3066.662959
-16.0,1872,3082.20511
-16.0,1624,3095.895693
-17.0,1647,3109.653226
-17.0,1401,3121.878134
-15.0,1776,3136.866009
-12.0,2196,3155.752695
-11.0,2201,3174.231682
-14.0,1980,3190.808111
-9.0,2280,3210.508224
-12.0,2320,3230.197869
-12.0,2262,3249.615887
-14.0,1805,3265.099874
-15.0,1687,3279.660136
-13.0,2424,3300.655105
-12.0,2112,3319.042633
-17.0,1635,3333.0221
-14.0,1983,3350.322842
-9.0,2622,3372.192624
-13.0,2313,3391.842002
-12.0,2219,3410.901189
-16.0,1659,3425.171782
-13.0,2152,3443.224361
-15.0,2141,3462.209604
-12.0,2440,3483.386711
-7.0,2603,3505.566098
-6.0,3036,3532.180323
-9.0,2419,3553.711536
-12.0,2441,3574.881981
-10.0,2433,3596.229333
-11.0,2618,3618.190247
-12.0,2135,3636.117552
-10.0,2337,3655.96192
-9.0,2621,3678.453173
-11.0,2554,3701.173828
-6.0,2632,3723.972262
-16.0,1772,3739.527432
-8.0,2382,3760.171055
-11.0,2168,3779.046256
-11.0,2279,3798.989848
-3.0,2743,3822.828517
-6.0,2890,3847.317487
-9.0,2704,3870.349226
-5.0,2890,3895.160619
7.0,2460,3916.274172
5.0,2542,3937.733369
6.0,2556,3959.399184
9.0,2358,3979.539803
8.0,2332,3999.984243
-10.0,2362,4020.317814
3.0,3158,4047.522239
11.0,2357,4067.469196
13.0,2514,4089.2449
15.0,2026,4106.936188
9.0,2319,4127.140021
15.0,2114,4145.40928
-4.0,2756,4168.664327
14.0,2169,4187.774909
14.0,2192,4207.026909
14.0,2084,4224.615813
16.0,1963,4241.488619
19.0,1759,4256.675298
11.0,2140,4274.941228
13.0,2220,4294.368249
16.0,2061,4311.794532
14.0,2016,4329.202525
18.0,1816,4344.996289
18.0,1862,4360.895977
7.0,2641,4383.673473
18.0,1790,4399.143441
19.0,1752,4501.291378
21.0,1637,4515.188964
17.0,1786,4530.657999
19.0,1958,4547.372707
21.0,1694,4561.782308
15.0,2044,4579.170669
16.0,2102,4597.295916
20.0,1695,4611.846761
20.0,1694,4626.66351
13.0,2145,4644.738604
19.0,1719,4659.415034
18.0,1828,4674.993569
13.0,2178,4693.877239
19.0,1839,4709.871224
13.0,2101,4728.439941
17.0,1864,4744.620672
19.0,1764,4759.959517
20.0,1758,4774.525563
19.0,1773,4789.851771
19.0,1724,4804.726987
20.0,1672,4818.724158
15.0,1997,4835.781469
19.0,1831,4851.623754
20.0,1674,4865.943628
19.0,1720,4880.779395
2.0,2731,4904.676495
19.0,1835,4920.450086
17.0,2036,4937.333628
21.0,1725,4952.259261
18.0,1818,4968.420564
14.0,2024,4985.092205
19.0,1726,4999.829989
5.0,2466,5020.799102
21.0,1640,5034.54371
20.0,1671,5048.421058
20.0,1734,5063.45378
20.0,1731,5078.241379
19.0,1756,5093.367592
15.0,2143,5112.304248
16.0,1971,5129.01517
18.0,1773,5144.218349
19.0,1811,5159.960749
18.0,1792,5175.017311
20.0,1702,5189.339306
18.0,1807,5204.668448
20.0,1727,5219.638792
17.0,2127,5237.930558
20.0,1728,5252.786258
18.0,1934,5269.409693
15.0,1941,5286.197286
19.0,1728,5300.916864
21.0,1820,5316.344515
18.0,1866,5332.05465
20.0,1732,5346.977306
-1.0,2671,5370.028387
20.0,1750,5384.88675
17.0,1996,5402.302824
20.0,1697,5416.846756
20.0,1663,5431.421477
14.0,2138,5449.398596
20.0,1746,5464.426991
16.0,2043,5482.084531
17.0,1909,5499.192024
20.0,1732,5514.613396
20.0,1726,5529.435547
17.0,1908,5545.547473
18.0,1760,5560.878623
17.0,1914,5577.515493
20.0,1673,5591.878001
20.0,1700,5606.355818
11.0,2356,5626.620456
21.0,1638,5640.851361
14.0,2009,5657.776621
9.0,2314,5678.0068
-1.0,2355,5697.79917
21.0,1638,5711.619782
16.0,2073,5729.633716
17.0,1812,5745.190065
11.0,2192,5763.843001
19.0,1701,5778.085412
16.0,1861,5794.985917
16.0,1942,5812.302057
20.0,1715,5826.635238
19.0,1755,5841.4536
16.0,1905,5858.291736
17.0,1910,5873.972479
19.0,1755,5889.899489
17.0,1900,5906.621952
13.0,2025,5924.132986
19.0,1757,5939.537311
20.0,1660,5954.238836
20.0,1673,5968.3931
14.0,1949,5985.906604
18.0,1798,6000.934329
20.0,1666,6015.476025
14.0,2010,6033.223676
20.0,1742,6048.101726
15.0,2141,6066.394922
17.0,1936,6083.197989
17.0,1932,6098.944943
16.0,2004,6116.230482
18.0,1843,6130.034729
19.0,1793,6143.852994
13.0,2245,6162.914421
19.0,1761,6178.102455
15.0,2013,6195.848264
9.0,2648,6218.520277
12.0,2467,6240.270931
3.0,3064,6267.464506
19.0,1750,6282.422245
18.0,2012,6299.856465
17.0,1881,6316.480841
21.0,1633,6330.91527
21.0,1633,6345.062155
20.0,1671,6359.817161
20.0,1871,6375.818201
19.0,1849,6391.862362
21.0,1637,6405.919014
17.0,1941,6422.711506
16.0,1873,6438.778624
14.0,2015,6455.810428
19.0,1723,6470.826952
18.0,1753,6485.80747
14.0,2054,6503.996173
13.0,2232,6523.742126
14.0,2373,6544.01882
19.0,1809,6559.507753
13.0,2157,6578.88221
20.0,1769,6594.068133
18.0,1920,6610.301631
20.0,1671,6624.30939
20.0,1690,6638.814608
19.0,1792,6733.280394
20.0,1743,6748.076574
20.0,1719,6762.845134
14.0,2113,6781.042742
16.0,2133,6798.995987
20.0,1713,6813.150415
20.0,1756,6828.38741
20.0,1697,6842.604928
20.0,1667,6856.937361
16.0,2132,6875.054338
18.0,1898,6891.553307
19.0,1727,6906.280445
7.0,2534,6927.104321
19.0,1789,6942.722837
18.0,1742,6957.540048
13.0,2076,6974.958511
20.0,1674,6989.552659
20.0,1671,7003.717252
19.0,1754,7018.765785
20.0,1668,7033.359251
16.0,1921,7049.984789
20.0,1670,7064.389685
19.0,1810,7080.16819
17.0,1917,7096.207229
10.0,2227,7115.686424
20.0,1702,7130.325213
18.0,1823,7145.521133
17.0,1825,7161.525992
16.0,2018,7178.215114
21.0,1633,7192.355296
19.0,1782,7208.135902
20.0,1673,7222.17567
20.0,1670,7236.456229
20.0,1776,7251.991244
