#{"t_start": 1572298049.1874795, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,868,285.006176
-20.0,1653,612.07845
-18.0,1620,962.569403
-20.0,1703,1046.848652
-14.0,2154,1405.71892
-14.0,2140,1510.371974
-11.0,2676,1874.542421
8.0,2993,2347.052508
17.0,1920,2692.303272
18.0,2173,3056.483277
19.0,1861,3392.419643
20.0,1901,3742.610304
21.0,1674,4069.891289
20.0,1748,4417.376541
21.0,2249,4774.617876
20.0,1982,5103.569386
20.0,2019,5454.613505
21.0,2249,5807.482817
20.0,1956,6136.136668
21.0,1671,6465.703181
21.0,1674,6812.773674
20.0,1737,7160.747321
20.0,2044,7519.07886
21.0,1673,7843.507899
21.0,2250,8216.298566
21.0,1671,8531.824559
21.0,1667,8880.714387
21.0,2253,9247.810979
21.0,2252,9588.854897
21.0,1671,9913.666525
21.0,2253,10285.887239
21.0,2255,10633.159178
21.0,2248,10975.800274
21.0,1675,11294.08517
21.0,2252,11666.57325
21.0,1669,11981.242834
21.0,2248,12355.260199
21.0,2255,12698.419126
21.0,1673,13012.238266
21.0,1670,13355.153216
21.0,1675,13700.151231
