fps,serial_timesteps,explained_variance,value_loss,approxkl,policy_loss,policy_entropy,time_elapsed,clipfrac,total_timesteps,n_updates,ep_len_mean,ep_reward_mean
316,128,-0.002686738967895508,0.20793073,0.0028199991,-0.003467534,1.7887666,4.76837158203125e-06,0.088378906,1024,1,,
1050,256,-0.005409717559814453,0.057839897,0.0006154637,-0.001473243,1.7876973,3.2321889400482178,0.030273438,2048,2,,
1073,384,0.0008345842361450195,0.06826814,0.0002756691,-0.00021594751,1.7825851,4.208606958389282,0.0,3072,3,,
1063,512,0.012998461723327637,0.054936156,0.0005689081,-0.00056948524,1.7831682,5.164534330368042,0.0,4096,4,,
1041,640,0.009509027004241943,0.058245815,0.00063557207,-0.0012903593,1.7877815,6.12879490852356,0.009277344,5120,5,,
948,768,0.019350171089172363,0.06358939,0.00038691555,-0.00077655615,1.7891057,7.113744735717773,0.0,6144,6,757.0,-21.0
864,896,0.007729649543762207,0.05874655,0.00011466551,-0.00020971609,1.7884424,8.194373607635498,0.0,7168,7,824.75,-21.0
884,1024,0.017438769340515137,0.057870887,0.0007798389,-0.0019534808,1.7879268,9.38017988204956,0.03564453,8192,8,886.0,-20.571428571428573
929,1152,0.018670320510864258,0.06789943,0.00037026787,-0.0009887416,1.788539,10.539772510528564,0.0,9216,9,903.75,-20.25
883,1280,0.047580838203430176,0.06784085,0.00026639734,-0.00018930709,1.7907085,11.642716884613037,0.0,10240,10,903.75,-20.25
910,1408,0.06857365369796753,0.044689924,0.0008901322,-0.0015708562,1.7894907,12.803809404373169,0.06518555,11264,11,903.75,-20.25
935,1536,0.06643152236938477,0.04962046,0.0006685451,-0.00087502325,1.7888695,13.931387662887573,0.03125,12288,12,903.75,-20.25
834,1664,0.09548211097717285,0.064513035,0.00042510874,-0.0017439807,1.7885473,15.027215957641602,0.0,13312,13,894.1111111111111,-20.333333333333332
914,1792,0.08201289176940918,0.049328696,0.002126228,-0.00421615,1.7781576,16.255306720733643,0.18115234,14336,14,895.3,-20.4
856,1920,0.1126524806022644,0.05130862,0.00043894106,-0.0011014745,1.7774856,17.377214193344116,0.018798828,15360,15,914.4166666666666,-20.333333333333332
839,2048,0.09549766778945923,0.05334491,0.00028708356,-0.00025956365,1.774551,18.575844526290894,0.0,16384,16,939.5333333333333,-20.133333333333333
917,2176,0.1258212924003601,0.041901194,0.0013706153,-0.0018071858,1.7613701,19.798780918121338,0.059814453,17408,17,952.875,-20.0625
997,2304,0.12072551250457764,0.046379153,0.0006266004,-0.0011015154,1.75236,20.9169020652771,0.008056641,18432,18,952.875,-20.0625
915,2432,0.1575857400894165,0.046204265,0.0006475633,-0.0007209241,1.7568116,21.945307970046997,0.0061035156,19456,19,952.875,-20.0625
887,2560,0.2783057689666748,0.03603048,0.0008878167,-0.0013864422,1.7635462,23.06477975845337,0.059570312,20480,20,952.875,-20.0625
872,2688,0.23358124494552612,0.04346387,0.0010319325,-0.0018498892,1.7597001,24.220510721206665,0.084228516,21504,21,947.4444444444445,-20.166666666666668
840,2816,0.24295705556869507,0.05226133,0.0012774068,-0.0012115099,1.7698468,25.396769046783447,0.052246094,22528,22,934.0454545454545,-20.272727272727273
920,2944,0.06967508792877197,0.04766264,0.00042271704,-0.0011534982,1.7666429,26.61795425415039,0.0146484375,23552,23,934.0454545454545,-20.272727272727273
828,3072,0.1243208646774292,0.057056855,0.0019098574,-0.004395253,1.7592317,27.731566905975342,0.1303711,24576,24,931.3333333333334,-20.333333333333332
