#{"t_start": 1572298049.3629057, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,781,280.698663
-19.0,1743,616.046669
-1.0,3503,1055.250142
4.0,3514,1471.940251
3.0,4205,1948.206401
8.0,3277,2360.872096
19.0,1879,2690.416062
12.0,2223,3058.806548
16.0,2186,3408.385805
19.0,1836,3739.115052
20.0,1743,4073.4005
21.0,1707,4414.903919
21.0,1675,4745.010031
21.0,2254,5116.549505
20.0,1722,5438.97158
21.0,2248,5807.221236
21.0,1669,6121.429509
21.0,1726,6468.156769
20.0,1769,6817.52249
21.0,1731,7160.260115
18.0,2082,7520.640645
21.0,1668,7843.028498
21.0,1730,8189.042701
19.0,2378,8567.239673
21.0,1673,8880.886643
21.0,1668,9218.09043
21.0,1667,9560.351979
21.0,1674,9913.771199
14.0,2089,10277.516013
21.0,1728,10607.063562
21.0,1673,10947.427184
21.0,1671,11293.663
21.0,1667,11636.935018
21.0,1668,11980.974935
21.0,2255,12355.619686
21.0,1675,12669.689807
21.0,1672,13011.987158
21.0,1728,13357.918737
21.0,1673,13699.872224
