#{"t_start": 1572298049.3637156, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,788,280.945105
-21.0,1646,611.616333
-17.0,1953,979.495854
-1.0,3968,1494.450426
-13.0,2658,1873.551888
-17.0,1843,1962.620144
9.0,2475,2322.415615
18.0,1936,2692.979845
20.0,1765,3036.115528
17.0,2077,3402.547881
20.0,1863,3740.617826
21.0,1669,4069.368675
21.0,1703,4414.648321
20.0,2102,4766.678013
21.0,1731,5091.42526
20.0,1733,5439.534084
21.0,1704,5781.168029
19.0,1870,6131.500525
20.0,1783,6471.065999
21.0,1703,6813.964667
21.0,1708,7159.158757
21.0,1732,7504.55037
21.0,1669,7843.078354
21.0,1705,8188.111962
21.0,1730,8534.31999
21.0,2252,8908.645277
21.0,2251,9247.542371
21.0,1729,9563.543884
21.0,1671,9913.516855
21.0,1671,10256.950567
21.0,2248,10632.596061
21.0,1675,10947.52364
21.0,1671,11293.655766
21.0,1673,11637.307606
21.0,1727,11983.552092
21.0,1668,12326.153244
21.0,1727,12672.227784
21.0,1731,13015.111778
21.0,1668,13354.828676
21.0,1668,13699.56304
