#{"t_start": 1572312013.1815138, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,1227,301.471687
-18.0,1478,608.34494
-20.0,2747,997.731454
-13.0,2938,1390.323619
20.0,2130,1776.083646
20.0,2179,1881.539717
18.0,1927,2242.877163
20.0,1800,2632.352434
20.0,1622,3019.423697
20.0,1622,3396.593245
10.0,2496,3826.140814
19.0,1634,4195.165077
19.0,1756,4281.478809
21.0,2050,4611.881592
16.0,2551,5024.946934
14.0,2337,5424.57725
21.0,2050,5781.671212
21.0,2048,6164.308502
21.0,2054,6551.071594
17.0,2252,6940.636689
16.0,2420,7326.342023
19.0,2339,7687.917999
21.0,2091,8032.356293
20.0,1806,8396.900588
20.0,1624,8750.609669
20.0,1802,9167.698656
21.0,2055,9516.027205
21.0,2097,9888.751402
20.0,1801,10209.555224
20.0,2120,10568.575444
21.0,2092,10919.705112
21.0,2053,11342.14308
21.0,3126,11770.20923
20.0,2571,12156.46257
17.0,2284,12535.097345
19.0,2789,12942.919357
21.0,2050,13279.433159
21.0,2759,13697.108474
21.0,2636,14067.14067
21.0,2095,14412.090794
20.0,2746,14813.000353
