#{"t_start": 1572463743.086721, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,863,209.519168
-20.0,922,442.312448
-20.0,988,673.279835
-21.0,1036,900.032149
-18.0,1113,1135.87241
-19.0,1005,1366.338131
-20.0,1084,1594.750444
-17.0,1229,1846.487981
-20.0,1142,2069.241525
-18.0,1196,2298.765614
-19.0,1500,2561.407597
-17.0,1609,2833.532583
-18.0,2165,3136.379546
-18.0,1943,3426.661341
-19.0,2181,3743.047372
-14.0,2590,4083.472445
-10.0,2517,4423.317033
-9.0,2370,4761.352549
-5.0,2807,5128.346046
-12.0,2035,5438.994511
