policy_entropy,nupdates,total_timesteps,explained_variance,value_loss,fps,ep_reward_mean,ep_len_mean
1.7593166828155518,32300,2584000,0.7887816727161407,0.06442807614803314,1178,-19.48,1099.12
1.7604656219482422,32400,2592000,0.9028456807136536,0.013540498912334442,1178,-19.47,1101.22
1.7678486108779907,32500,2600000,0.9120614603161812,0.012257369235157967,1179,-19.47,1102.96
1.7523607015609741,32600,2608000,0.9048551023006439,0.019612079486250877,1179,-19.49,1112.27
1.7550016641616821,32700,2616000,0.9161859229207039,0.02542559802532196,1179,-19.51,1112.48
1.7679494619369507,32800,2624000,0.5646645426750183,0.09412109851837158,1180,-19.54,1109.56
1.752396821975708,32900,2632000,0.8798613622784615,0.04193178564310074,1180,-19.54,1105.49
1.729933500289917,33000,2640000,0.8718670159578323,0.01583338901400566,1180,-19.51,1099.53
1.7765884399414062,33100,2648000,0.7287996113300323,0.06035264581441879,1180,-19.47,1095.62
1.760990858078003,33200,2656000,0.8905240073800087,0.009046757593750954,1181,-19.48,1097.44
1.765681266784668,33300,2664000,0.7965234220027924,0.02881646528840065,1181,-19.48,1099.2
1.7741177082061768,33400,2672000,0.821768268942833,0.015091692097485065,1181,-19.42,1110.01
1.7627055644989014,33500,2680000,0.9362727105617523,0.011388042941689491,1182,-19.36,1115.62
1.7241328954696655,33600,2688000,0.7940608561038971,0.06930436193943024,1182,-19.36,1124.11
1.7470067739486694,33700,2696000,0.7004397809505463,0.029879575595259666,1182,-19.39,1126.65
1.7390718460083008,33800,2704000,0.6248357892036438,0.04655846580862999,1183,-19.39,1126.07
1.7456382513046265,33900,2712000,0.7850431352853775,0.0455220527946949,1183,-19.36,1131.46
1.7487785816192627,34000,2720000,0.8013930320739746,0.014622002840042114,1183,-19.32,1130.27
1.74734628200531,34100,2728000,0.9022351428866386,0.008881520479917526,1183,-19.34,1132.54
1.7562038898468018,34200,2736000,0.896702766418457,0.015263834968209267,1184,-19.16,1151.17
1.7478307485580444,34300,2744000,0.8599288612604141,0.019955236464738846,1184,-19.12,1158.89
1.7355200052261353,34400,2752000,0.8550668060779572,0.03919302299618721,1173,-19.15,1159.74
1.7115776538848877,34500,2760000,0.8819083496928215,0.01281815581023693,1173,-19.06,1176.82
1.6937897205352783,34600,2768000,0.7549613863229752,0.05065350979566574,1173,-19.04,1185.34
1.751228928565979,34700,2776000,0.7763465493917465,0.02727111615240574,1173,-18.94,1204.09
1.720314383506775,34800,2784000,0.7279887497425079,0.03513035550713539,1174,-18.96,1210.31
1.7096790075302124,34900,2792000,0.7677103579044342,0.026121502742171288,1174,-18.93,1228.7
