#{"t_start": 1572463742.2851605, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,876,211.196744
-19.0,1129,454.780014
-21.0,884,669.006785
-20.0,902,893.185166
-21.0,957,1127.943981
-19.0,1082,1371.305888
-18.0,1138,1599.604691
-21.0,885,1829.225324
-19.0,1021,2063.792946
-18.0,1525,2315.647822
-18.0,1481,2561.534059
-21.0,1391,2823.024665
-15.0,2257,3141.589966
-13.0,1957,3428.20472
-17.0,1811,3724.987453
-15.0,2549,4082.228344
-11.0,2660,4431.453378
-4.0,2877,4787.215712
17.0,2200,5097.230501
11.0,2645,5470.151587
97.151775
-20.0,839,304.581191
-21.0,907,314.350789
-21.0,896,322.137879
-20.0,916,330.130501
-21.0,818,337.472152
-19.0,932,345.906283
-21.0,1001,357.908185
-18.0,1190,374.483149
-21.0,979,382.974308
-21.0,820,390.168067
-17.0,1290,401.682079
-21.0,866,480.714472
-20.0,1074,490.117066
-21.0,849,497.632491
-20.0,860,505.309846
-21.0,1019,514.234587
-21.0,778,520.970317
-18.0,1049,530.182522
-21.0,879,541.639746
-21.0,1117,558.203408
-18.0,1086,567.722915
-21.0,821,574.852868
-21.0,821,582.663679
-21.0,1056,598.417126
-21.0,1090,609.548621
-21.0,778,616.345021
-21.0,882,624.148259
-21.0,850,631.668572
-20.0,954,700.527895
-20.0,840,707.93814
-20.0,1180,726.712332
-21.0,850,736.217866
-21.0,872,743.941348
-20.0,978,752.487193
-21.0,817,759.807633
-20.0,978,768.507665
-20.0,1069,779.046697
-20.0,931,793.528683
-20.0,1008,803.390442
-21.0,820,810.761621
-19.0,1177,821.160619
-21.0,839,828.661741
-19.0,1064,841.063106
-21.0,932,855.267607
-21.0,933,927.31505
-19.0,936,935.592869
-19.0,1153,945.683882
-19.0,1036,954.902383
-20.0,960,967.768569
-20.0,899,981.599466
-21.0,814,988.838092
-20.0,836,996.192225
-21.0,875,1003.920562
-20.0,1006,1014.622999
-21.0,1106,1033.687415
-19.0,994,1042.468713
-19.0,975,1051.143321
-21.0,850,1058.663105
-21.0,944,1066.946198
-21.0,1002,1077.630352
-21.0,823,1152.982522
-19.0,917,1161.796178
-21.0,819,1168.925266
-19.0,1022,1180.286349
-19.0,1063,1196.772789
-21.0,867,1204.409858
-21.0,852,1211.818191
-20.0,969,1220.490788
-21.0,876,1228.278685
-21.0,825,1235.749482
-20.0,890,1247.636768
-21.0,892,1261.983381
-19.0,963,1270.46629
-19.0,1170,1282.626383
-20.0,866,1290.207845
-21.0,821,1300.097642
-20.0,1076,1317.116452
-16.0,1274,1394.349418
-20.0,1041,1403.528672
-20.0,950,1411.865228
-19.0,1030,1422.696581
-19.0,1039,1437.276405
-19.0,1046,1446.44423
-20.0,983,1455.074512
-21.0,827,1462.444545
-21.0,786,1469.207687
-20.0,1052,1481.838774
-20.0,995,1496.745185
-20.0,1004,1505.506434
-21.0,790,1514.314524
-19.0,1011,1523.192043
-21.0,928,1531.360591
-19.0,1019,1542.489488
-20.0,1236,1641.854031
-19.0,1027,1650.89057
-20.0,949,1659.257223
-20.0,1182,1673.376887
-20.0,961,1687.712905
-21.0,1054,1696.986838
-20.0,945,1705.1372
-18.0,1124,1715.094994
-19.0,1011,1725.75479
-19.0,1246,1742.963716
-18.0,1183,1755.228721
-20.0,1027,1764.260867
-19.0,1115,1774.064647
-20.0,1080,1783.542281
-20.0,1014,1792.494113
-19.0,977,1869.073629
-21.0,846,1879.265052
-19.0,977,1887.829058
-19.0,1059,1897.139805
-20.0,1016,1906.002659
-19.0,1121,1919.783891
-20.0,897,1933.363915
-20.0,896,1941.254828
-17.0,1275,1952.444759
-20.0,1076,1961.918884
-20.0,1036,1971.000018
-19.0,1096,1980.623332
-19.0,1008,1996.93617
-21.0,1018,2007.698996
-18.0,1145,2017.741211
-20.0,1164,2097.71129
-21.0,985,2106.397187
-19.0,1142,2124.673798
-20.0,835,2133.121505
-20.0,1033,2142.184509
-19.0,1035,2151.181627
-21.0,1118,2161.115109
-19.0,1043,2170.347416
-18.0,1124,2180.215313
-20.0,955,2188.522226
-19.0,1106,2198.234947
-19.0,1337,2213.165269
-19.0,1118,2228.201938
-19.0,1125,2240.80654
-18.0,1280,2335.733518
-17.0,1331,2347.379177
-21.0,1112,2360.865986
-18.0,1410,2379.718638
-16.0,1405,2391.875671
-17.0,1220,2402.541913
-18.0,1286,2418.058931
-17.0,1260,2433.265779
-18.0,1332,2444.881982
-16.0,1701,2459.670463
-17.0,1627,2476.7331
-18.0,1530,2496.754597
-20.0,1403,2617.751419
-19.0,1343,2629.562107
-18.0,1532,2643.370202
-20.0,1485,2665.004515
-20.0,1643,2679.331182
-21.0,1690,2694.073471
-16.0,1727,2709.145354
-19.0,1709,2733.682697
-18.0,1755,2748.81156
-18.0,1653,2872.91257
-16.0,1789,2888.453228
-18.0,1616,2904.381618
-20.0,1422,2924.228182
-19.0,1747,2939.52015
-18.0,1810,2959.97005
-17.0,1978,2983.758568
-16.0,1765,2999.034905
-16.0,2348,3027.815091
-17.0,1927,3184.192241
-13.0,2208,3206.227737
-17.0,2076,3227.100768
-21.0,1572,3247.248086
-14.0,1995,3264.615677
-17.0,1847,3286.736722
-18.0,1838,3306.930566
-17.0,2167,3327.668642
-17.0,2077,3493.035829
-16.0,2393,3513.887215
-12.0,2335,3542.815964
-16.0,2099,3562.960989
-15.0,2220,3582.232678
-16.0,2155,3610.077218
-15.0,2085,3628.268628
-16.0,2076,3800.141497
-12.0,2616,3830.28216
-14.0,2433,3854.112277
-15.0,2734,3879.588065
-15.0,2141,3905.509545
-14.0,2252,3926.693058
-17.0,2375,3956.188423
-16.0,2377,4162.243945
-10.0,2495,4183.840748
-14.0,2261,4211.807124
-20.0,1693,4226.321182
-14.0,2165,4246.37532
-7.0,2868,4281.238466
-6.0,2896,4497.435187
-17.0,1892,4517.681001
-17.0,2143,4536.11312
-15.0,2106,4559.057126
-9.0,2532,4586.494383
-7.0,2757,4613.190428
-5.0,3079,4648.205161
7.0,2913,4855.066706
13.0,2525,4888.123262
-6.0,2983,4913.950489
2.0,3064,4949.178802
-2.0,3619,4983.29129
5.0,3041,5206.065464
9.0,3326,5245.218528
6.0,2999,5272.033386
9.0,2664,5299.024413
11.0,3090,5331.342016
