#{"t_start": 1572463743.050282, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,892,211.604881
-21.0,839,438.344839
-20.0,899,669.194359
-20.0,1128,905.183617
-20.0,870,1121.761724
-20.0,917,1361.199502
-20.0,978,1588.543396
-19.0,1084,1838.879576
-19.0,1136,2068.9771
-20.0,1100,2294.183944
-18.0,1347,2554.298423
-19.0,1699,2839.071192
-18.0,1835,3119.449996
-10.0,2442,3451.895165
-18.0,2032,3735.137692
-8.0,2826,4095.502548
-11.0,2287,4409.423545
-5.0,3022,4794.620832
-5.0,3048,5140.363014
5.0,2988,5489.066631
