#{"t_start": 1572427179.7902815, "env_id": "PongNoFrameskip-v4"}
r,l,t
-10.0,2267,1320.982114
3.0,4090,2775.762357
19.0,1856,4084.482426
20.0,1696,5395.670746
19.0,1804,6712.209696
20.0,1731,8019.528449
20.0,1671,9326.548271
21.0,1636,10634.851967
21.0,1640,11943.478211
21.0,1633,13252.902161
20.0,1702,14573.817712
21.0,1636,15880.643724
21.0,1629,17192.617546
21.0,1631,18486.365402
21.0,1632,19778.620852
21.0,1634,21073.61128
21.0,1634,22367.624037
21.0,1631,23662.444896
21.0,1632,24954.687438
