#{"t_start": 1572427180.816086, "env_id": "PongNoFrameskip-v4"}
r,l,t
-14.0,2076,1309.922839
-2.0,3856,2763.392627
19.0,1851,4083.207437
20.0,1764,5398.500797
19.0,1806,6711.33594
21.0,1638,8013.483518
20.0,1790,9331.706086
21.0,1637,10633.912188
18.0,1878,11955.034401
20.0,1732,13257.335731
20.0,1704,14572.946764
20.0,1711,15883.29463
21.0,1630,17191.668925
21.0,1633,18485.472015
21.0,1628,19777.293558
21.0,1631,21072.392261
21.0,1632,22366.430945
21.0,1630,23661.362223
21.0,1635,24953.979927
