#{"t_start": 1572427180.3267567, "env_id": "PongNoFrameskip-v4"}
r,l,t
-14.0,2174,1315.018613
-2.0,3860,2764.117704
21.0,1639,4073.319134
19.0,1741,5397.631716
21.0,1639,6704.014325
20.0,1725,8018.576828
20.0,1794,9332.455556
21.0,1640,10634.70629
21.0,1642,11943.110137
20.0,1730,13257.658689
20.0,1701,14573.232755
20.0,1715,15884.04217
21.0,1627,17191.94979
21.0,1627,18485.492811
21.0,1629,19777.851123
21.0,1625,21072.393316
21.0,1625,22366.343275
21.0,1625,23661.470337
21.0,1636,24954.562497
