#{"t_start": 1572468574.87664, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,820,249.573783
-21.0,843,515.753682
-20.0,902,781.392394
-20.0,939,1045.243046
-21.0,949,1316.876357
-19.0,1043,1590.903667
-21.0,816,1853.642524
-20.0,893,2118.545469
-20.0,974,2378.64263
-20.0,1128,2652.755917
-21.0,819,2903.782678
-15.0,1534,3202.837321
-19.0,1756,3506.560397
-9.0,2181,3822.319281
-20.0,1477,4093.042358
-6.0,2836,4464.001035
-10.0,2169,4760.345541
-5.0,2160,5089.191218
-4.0,2450,5403.148667
-6.0,2507,5724.851707
.0,909,319.92635
-21.0,901,332.516024
-21.0,850,344.049843
-21.0,959,356.896091
-20.0,832,368.035028
-18.0,1041,381.677437
-21.0,925,393.906333
-21.0,852,405.491591
-21.0,788,416.284272
-21.0,1042,430.159271
-20.0,928,442.804003
-20.0,1017,456.825294
-21.0,782,467.626809
-20.0,880,537.857957
-21.0,847,549.341484
-19.0,1006,561.913206
-21.0,881,573.45131
-19.0,937,585.886182
-20.0,1024,599.6779
-19.0,1085,614.170625
-19.0,1125,629.657219
-20.0,899,641.755383
-20.0,1068,655.774848
-21.0,913,668.09987
-19.0,1093,682.799297
-20.0,927,695.37705
-21.0,893,707.117949
-20.0,978,720.478688
-21.0,844,731.596066
-20.0,978,795.926628
-21.0,848,807.781192
-19.0,1079,822.464438
-20.0,985,835.790192
-17.0,1208,852.091467
-21.0,878,863.83394
-21.0,928,876.319023
-19.0,1085,890.801138
-21.0,877,902.870139
-20.0,882,914.921786
-20.0,893,926.917786
-20.0,957,939.441715
-21.0,852,951.175627
-18.0,1083,966.046304
-20.0,1099,980.498584
-20.0,941,993.184467
-21.0,782,1003.608868
-21.0,870,1073.283169
-20.0,943,1085.902781
-21.0,846,1097.188136
-20.0,837,1108.279158
-18.0,1033,1122.146797
-20.0,869,1133.758847
-20.0,982,1146.926169
-21.0,927,1159.42422
-20.0,838,1170.558797
-21.0,789,1181.017876
-20.0,916,1193.418638
-19.0,947,1206.0958
-20.0,973,1219.109139
-21.0,820,1230.304311
-21.0,852,1241.798964
-20.0,912,1254.09417
-20.0,921,1266.282472
-20.0,918,1341.746314
-19.0,944,1354.723817
-19.0,1141,1369.759725
-21.0,957,1382.590199
-21.0,778,1392.919721
-21.0,837,1404.215797
-21.0,900,1416.280658
-20.0,984,1429.507754
-20.0,898,1441.339103
-21.0,850,1452.832763
-20.0,975,1466.243603
-21.0,819,1477.152426
-20.0,1260,1494.103351
-21.0,945,1507.075176
-19.0,939,1519.6628
-19.0,930,1531.864631
-20.0,962,1544.843095
-19.0,985,1623.149822
-19.0,980,1636.2506
-21.0,959,1649.346654
-18.0,1031,1663.301878
-19.0,1063,1677.593659
-21.0,840,1688.868011
-20.0,830,1700.040329
-19.0,1009,1713.788529
-18.0,1247,1730.451904
-19.0,1026,1744.176777
-21.0,1001,1757.636761
-21.0,961,1770.492599
-20.0,981,1783.926674
-20.0,978,1796.932254
-19.0,1011,1810.622596
-20.0,1289,1880.109386
-19.0,1116,1895.505314
-20.0,989,1908.593151
-20.0,1093,1923.418828
-19.0,1114,1937.978948
-20.0,927,1950.426039
-20.0,831,1962.008191
-21.0,863,1973.245384
-21.0,1002,1986.521544
-21.0,911,1998.801168
-21.0,910,2010.858732
-20.0,1066,2025.375326
-20.0,1117,2040.204257
-21.0,944,2052.753134
-21.0,853,2064.012625
-21.0,985,2077.303581
-21.0,881,2138.504388
-20.0,989,2151.745826
-21.0,846,2163.209768
-20.0,898,2175.237069
-19.0,1078,2189.605877
-19.0,1111,2204.483409
-20.0,1040,2218.120692
-18.0,1058,2231.929674
-20.0,896,2243.717731
-20.0,968,2256.871732
-21.0,909,2269.039683
-21.0,1065,2283.386526
-20.0,957,2296.233251
-20.0,1083,2310.389857
-21.0,867,2321.821237
-20.0,910,2334.094879
-19.0,978,2401.333778
-20.0,1161,2417.350429
-21.0,855,2428.955876
-18.0,1390,2447.976439
-20.0,1016,2461.913538
-21.0,894,2473.720878
-20.0,1033,2487.631746
-21.0,839,2498.851349
-19.0,1103,2513.730628
-20.0,1150,2529.087162
-20.0,1104,2543.830387
-21.0,957,2556.716459
-19.0,1001,2570.477385
-17.0,1547,2591.152851
-20.0,1032,2605.086478
-19.0,1024,2675.461
-21.0,813,2686.424922
-21.0,805,2697.315232
-19.0,999,2710.679236
-20.0,1082,2725.165541
-20.0,883,2736.988271
-20.0,1237,2753.287117
-19.0,1201,2768.909181
-18.0,1248,2785.262764
-19.0,1075,2798.791438
-20.0,1048,2811.689837
-20.0,1014,2824.132089
-18.0,1226,2840.068097
-21.0,1015,2853.45293
-18.0,1321,2930.468225
-17.0,1300,2948.102233
