#{"t_start": 1572468574.9217863, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,822,249.651154
-20.0,992,523.022516
-21.0,840,778.571899
-21.0,964,1046.486014
-20.0,957,1317.355937
-20.0,902,1583.439686
-20.0,956,1860.123692
-20.0,1028,2125.335275
-19.0,1248,2392.061692
-18.0,1235,2656.814177
-20.0,975,2910.260153
-18.0,1409,3196.970418
-21.0,1434,3492.329792
-11.0,1999,3814.210581
-17.0,1760,4104.906371
-13.0,2139,4436.58588
-11.0,1966,4751.687523
-13.0,1684,5070.686936
-10.0,2153,5391.689172
-4.0,2853,5738.824861
