value_loss,policy_entropy,total_timesteps,nupdates,fps,explained_variance,ep_len_mean,ep_reward_mean
0.02021688222885132,1.6359670162200928,4472000,55900,1121,0.8362864702939987,2044.56,-13.33
0.008648579008877277,1.6168467998504639,4480000,56000,1121,0.9391331449151039,2042.74,-13.36
0.032337628304958344,1.6114143133163452,4488000,56100,1121,0.8765245601534843,2040.81,-13.34
0.014412665739655495,1.7076666355133057,4496000,56200,1121,0.841203972697258,2047.98,-13.1
0.023620974272489548,1.6477159261703491,4504000,56300,1111,0.8494343459606171,2067.87,-12.74
0.047903940081596375,1.5713756084442139,4512000,56400,1111,0.8266482651233673,2073.11,-12.55
0.03213626891374588,1.5773420333862305,4520000,56500,1112,0.7366743981838226,2081.76,-12.41
0.020864151418209076,1.5292173624038696,4528000,56600,1112,0.8522897809743881,2084.34,-12.3
0.013921593315899372,1.645473837852478,4536000,56700,1112,0.9020719677209854,2088.53,-12.23
0.04047604277729988,1.5988962650299072,4544000,56800,1112,0.8811608478426933,2115.42,-11.74
0.020596632733941078,1.6523287296295166,4552000,56900,1113,0.8945834934711456,2118.88,-11.64
0.011424859054386616,1.667319893836975,4560000,57000,1113,0.9271123483777046,2111.48,-11.68
0.035378314554691315,1.683386206626892,4568000,57100,1113,0.5859991610050201,2113.9,-11.62
0.024062668904662132,1.6951713562011719,4576000,57200,1113,0.7290396094322205,2113.9,-11.62
0.016658086329698563,1.7389183044433594,4584000,57300,1113,0.861324280500412,2109.08,-11.78
0.026999792084097862,1.6415691375732422,4592000,57400,1114,0.8643627315759659,2100.89,-11.92
0.03526054322719574,1.6612364053726196,4600000,57500,1114,0.7789125144481659,2127.32,-11.41
0.0288894921541214,1.6586993932724,4608000,57600,1114,0.8684355616569519,2115.1,-11.58
0.04678593575954437,1.5926787853240967,4616000,57700,1114,0.7974764853715897,2105.75,-11.72
0.05141371488571167,1.6641101837158203,4624000,57800,1114,0.8510136157274246,2108.91,-11.58
0.028357654809951782,1.6060163974761963,4632000,57900,1115,0.879412978887558,2112.87,-11.54
0.016032427549362183,1.5802335739135742,4640000,58000,1115,0.8887923657894135,2113.88,-11.51
0.025498569011688232,1.6671816110610962,4648000,58100,1115,0.8364256024360657,2106.19,-11.68
0.029335131868720055,1.5543196201324463,4656000,58200,1115,0.9076529964804649,2118.98,-11.54
0.013255193829536438,1.7059118747711182,4664000,58300,1116,0.8903435841202736,2121.39,-11.49
0.02616381272673607,1.406851053237915,4672000,58400,1116,0.8618258535861969,2117.71,-11.62
0.027933254837989807,1.6735883951187134,4680000,58500,1116,0.8445655107498169,2121.02,-11.59
0.022893045097589493,1.6946465969085693,4688000,58600,1116,0.758173480629921,2114.78,-11.64
0.04175941273570061,1.593274474143982,4696000,58700,1116,0.617423951625824,2128.14,-11.44
0.039793990552425385,1.5843346118927002,4704000,58800,1117,0.6637528240680695,2127.29,-11.59
0.01980939507484436,1.68096923828125,4712000,58900,1117,0.8463452905416489,2121.76,-11.74
0.010836312547326088,1.511709451675415,4720000,59000,1117,0.9568113721907139,2131.14,-11.7
0.019589673727750778,1.6112645864486694,4728000,59100,1117,0.9461776576936245,2131.9,-11.81
0.01866086944937706,1.6190595626831055,4736000,59200,1118,0.7944061756134033,2141.05,-11.75
0.054228413850069046,1.63229501247406,4744000,59300,1118,0.7527562379837036,2148.32,-11.58
0.02588416263461113,1.57532799243927,4752000,59400,1108,0.8869799077510834,2137.78,-11.77
0.023199716582894325,1.644166350364685,4760000,59500,1108,0.9224103316664696,2121.26,-11.99
0.02721470035612583,1.5112221240997314,4768000,59600,1108,0.8866108953952789,2136.25,-11.8
0.015817955136299133,1.6875724792480469,4776000,59700,1108,0.9636594504117966,2143.31,-11.67
0.041434697806835175,1.5955865383148193,4784000,59800,1108,0.6198701560497284,2163.12,-11.52
0.03039543703198433,1.6610107421875,4792000,59900,1109,0.8829892799258232,2168.64,-11.44
0.055484794080257416,1.6437437534332275,4800000,60000,1109,0.8222178965806961,2178.14,-11.32
0.01158888079226017,1.5462186336517334,4808000,60100,1109,0.951956931501627,2183.12,-11.27
0.01764814369380474,1.4951937198638916,4816000,60200,1109,0.9353572428226471,2204.86,-10.94
0.013660612516105175,1.600572943687439,4824000,60300,1110,0.8506073355674744,2202.32,-10.91
0.01409842073917389,1.5288504362106323,4832000,60400,1110,0.8733672797679901,2221.74,-10.61
0.041065048426389694,1.572149634361267,4840000,60500,1110,0.878578431904316,2225.04,-10.55
0.05997049808502197,1.650747299194336,4848000,60600,1110,0.71098992228508,2235.45,-10.45
0.014643987640738487,1.668291687965393,4856000,60700,1111,0.948227521032095,2236.27,-10.46
0.08202605694532394,1.6337674856185913,4864000,60800,1111,0.6983932256698608,2239.53,-10.37
0.008568082936108112,1.6599130630493164,4872000,60900,1111,0.9104033857584,2256.45,-10.22
0.020372966304421425,1.7009395360946655,4880000,61000,1111,0.916442520916462,2272.95,-10.03
0.02563958428800106,1.670749306678772,4888000,61100,1112,0.8583121448755264,2280.39,-9.88
0.032035164535045624,1.6513392925262451,4896000,61200,1112,0.9007287696003914,2284.66,-9.82
0.01988954283297062,1.7031158208847046,4904000,61300,1112,0.9346638470888138,2297.86,-9.64
0.03872749209403992,1.6655528545379639,4912000,61400,1112,0.8925663456320763,2309.83,-9.46
0.03615729883313179,1.6096805334091187,4920000,61500,1112,0.8196455091238022,2309.83,-9.46
0.012096692807972431,1.60330331325531,4928000,61600,1113,0.8881005644798279,2336.79,-9.14
0.03127230331301689,1.650740623474121,4936000,61700,1113,0.8536026179790497,2354.17,-8.98
0.01505644153803587,1.6690170764923096,4944000,61800,1113,0.9467745460569859,2378.73,-8.63
0.012677015736699104,1.6605846881866455,4952000,61900,1113,0.9496315680444241,2387.16,-8.46
0.01826954074203968,1.7241766452789307,4960000,62000,1113,0.9251955896615982,2393.09,-8.26
0.009455827064812183,1.7374775409698486,4968000,62100,1114,0.9599844478070736,2408.1,-7.98
0.031094074249267578,1.6340335607528687,4976000,62200,1114,0.8572928607463837,2410.78,-7.95
0.02325098216533661,1.6420704126358032,4984000,62300,1114,0.828992947936058,2413.35,-7.84
0.03153005987405777,1.5039751529693604,4992000,62400,1114,0.9221620708703995,2435.23,-7.57
0.02374555915594101,1.5768641233444214,5000000,62500,1114,0.9130045920610428,2442.13,-7.48
