#{"t_start": 1572468574.7501817, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,878,252.571513
-20.0,924,519.992023
-19.0,942,783.821236
-20.0,840,1041.139215
-19.0,963,1317.935705
-19.0,989,1587.878756
-20.0,1069,1866.127443
-21.0,953,2121.296666
-19.0,1033,2382.261546
-20.0,1002,2647.462186
-21.0,842,2904.925775
-17.0,1517,3202.125086
-16.0,1869,3511.295285
-20.0,1653,3800.354153
-15.0,2019,4116.226918
-16.0,2107,4435.532288
-15.0,1758,4742.287996
-14.0,1675,5070.321385
-4.0,2644,5412.572293
-2.0,2873,5739.779188
320.41589
-20.0,941,333.557261
-21.0,789,344.220445
-21.0,825,355.333866
-21.0,850,366.549355
-16.0,1244,383.180943
-20.0,867,394.475318
-21.0,878,406.486469
-21.0,906,418.624135
-18.0,1022,432.402814
-19.0,1008,446.196602
-20.0,868,458.292694
-20.0,895,470.543334
-21.0,778,539.290813
-21.0,822,550.392992
-21.0,851,561.058678
-21.0,849,572.081267
-20.0,1134,587.066814
-19.0,1040,601.132048
-20.0,914,613.388335
-20.0,1139,628.919654
-20.0,925,641.450715
-21.0,820,652.237641
-21.0,853,663.66653
-19.0,1020,677.414837
-20.0,1079,691.955715
-20.0,994,705.171906
-20.0,929,717.900865
-20.0,864,729.14186
-20.0,987,742.468408
-20.0,879,805.889443
-21.0,861,817.662906
-21.0,818,828.743442
-21.0,1003,842.192415
-20.0,960,855.243537
-21.0,838,866.267506
-20.0,934,879.09631
-21.0,881,890.694715
-20.0,865,902.56733
-20.0,1126,917.928784
-19.0,981,931.099308
-18.0,1090,945.523083
-20.0,1167,961.593038
-21.0,786,972.101564
-19.0,1009,985.669073
-21.0,789,996.212749
-20.0,901,1065.702081
-21.0,903,1078.373308
-20.0,836,1089.427415
-20.0,840,1100.728595
-20.0,1142,1115.8084
-21.0,920,1128.044085
-20.0,948,1140.83386
-21.0,882,1152.747634
-21.0,850,1164.108173
-21.0,926,1176.485465
-20.0,1063,1190.800983
-21.0,870,1202.418139
-21.0,873,1214.336917
-20.0,840,1225.427945
-21.0,849,1236.968365
-21.0,852,1248.307323
-21.0,991,1261.668362
-20.0,895,1336.639532
-21.0,806,1347.829214
-21.0,900,1360.034443
-21.0,841,1370.954953
-20.0,1016,1384.488281
-21.0,1030,1398.378814
-19.0,935,1410.93979
-18.0,1250,1427.788163
-18.0,1264,1444.530221
-20.0,910,1456.854966
-21.0,910,1469.400225
-17.0,1237,1485.789818
-20.0,836,1497.182898
-21.0,851,1508.824824
-20.0,955,1521.670319
-20.0,836,1532.508785
-21.0,931,1545.062334
-20.0,1003,1623.68222
-21.0,882,1635.470932
-18.0,1015,1649.261742
-19.0,1042,1663.356269
-19.0,1039,1677.286393
-20.0,882,1689.221442
-19.0,1175,1705.090685
-20.0,1047,1719.183389
-21.0,821,1730.150771
-20.0,838,1741.478043
-20.0,838,1752.647387
-21.0,850,1764.202594
-20.0,1021,1777.973823
-21.0,884,1789.555245
-21.0,818,1800.77573
-21.0,1017,1814.682619
-20.0,955,1879.348542
-19.0,1115,1894.71978
-20.0,1037,1908.536535
-20.0,978,1921.683851
-20.0,1046,1935.616802
-20.0,990,1948.833803
-21.0,868,1960.785282
-21.0,945,1973.212548
-20.0,1051,1987.184659
-21.0,903,1999.36026
-17.0,1218,2015.705228
-18.0,1375,2034.063196
-20.0,1070,2048.524315
-21.0,790,2058.736375
-19.0,1118,2073.876576
-18.0,1193,2139.164381
-21.0,926,2151.505353
-21.0,759,2161.850766
-19.0,1170,2177.554383
-20.0,1184,2193.21839
-20.0,841,2204.53244
-20.0,895,2216.31233
-20.0,1005,2229.439756
-20.0,832,2240.282217
-20.0,958,2253.353756
-20.0,837,2264.553936
-18.0,1249,2281.36585
-19.0,1046,2295.292767
-20.0,1020,2308.70149
-20.0,1031,2322.336487
-18.0,1131,2337.580333
-20.0,942,2404.615825
-18.0,1055,2419.021697
-20.0,984,2432.309739
-19.0,1178,2448.478136
-18.0,1214,2464.992235
-21.0,1065,2479.076247
-21.0,924,2491.548182
-20.0,916,2503.939997
-19.0,1137,2519.072685
-17.0,1488,2539.029206
-18.0,1095,2553.663459
-20.0,915,2566.198062
-21.0,851,2577.636507
-20.0,1106,2592.536066
-21.0,820,2603.603681
-18.0,1109,2674.986871
-18.0,1210,2691.633604
-21.0,989,2704.687365
-17.0,1151,2720.362722
-18.0,1208,2736.407618
-19.0,1113,2750.990772
-21.0,929,2763.434505
-21.0,1300,2780.099304
-20.0,1141,2794.634398
-17.0,1419,2812.266389
-19.0,1240,2827.329838
-19.0,1178,2842.964281
-19.0,1295,2860.034221
-18.0,1138,2935.227346
-18.0,1202,2951.134092
-14.0,1876,2975.84392
-18.0,1235,2992.592195
-19.0,1187,3008.522007
-20.0,1312,3026.098442
-21.0,1136,3041.042572
-20.0,1357,3059.29473
-17.0,1359,3077.411041
-17.0,1458,3096.892705
