#{"t_start": 1572462715.6728299, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,1016,237.889944
-20.0,987,487.919763
-21.0,778,726.34188
-21.0,1064,991.155016
-18.0,1066,1244.844466
-20.0,1023,1502.890368
-19.0,1035,1761.289181
-21.0,868,2005.731695
-21.0,879,2279.259155
-18.0,1222,2558.915438
-20.0,1196,2826.259906
-18.0,1925,3134.042188
-18.0,1537,3414.409566
-17.0,1732,3734.284693
-19.0,1678,4032.81765
-21.0,1285,4341.500968
-17.0,1827,4711.949837
-4.0,2745,5127.665161
-1.0,3011,5482.559924
13.0,2048,5765.892971
306.252374
-19.0,1101,320.365509
-20.0,835,331.336875
-20.0,1139,345.494726
-21.0,781,355.44141
-21.0,941,367.616837
-20.0,839,378.179738
-20.0,836,388.597035
-21.0,847,399.756417
-21.0,969,411.997503
-21.0,877,422.974301
-20.0,835,433.705076
-20.0,835,444.577604
-20.0,948,507.348412
-20.0,1041,519.907924
-21.0,845,530.236862
-21.0,1008,543.548774
-20.0,976,556.193536
-21.0,791,566.044096
-21.0,940,578.013714
-21.0,849,588.885347
-21.0,965,601.218961
-19.0,963,613.377218
-20.0,942,625.250509
-21.0,884,636.414232
-21.0,789,645.998123
-21.0,849,656.830993
-19.0,975,669.124046
-20.0,869,680.104777
-21.0,911,691.861786
-21.0,1001,756.361123
-20.0,1200,771.231399
-20.0,913,782.424097
-21.0,846,793.051507
-21.0,873,803.887162
-19.0,995,816.688472
-20.0,874,827.950488
-20.0,930,839.31798
-19.0,1041,852.195084
-21.0,822,862.383518
-20.0,942,874.586701
-19.0,1010,887.371764
-19.0,1035,900.191106
-21.0,882,911.322582
-21.0,868,921.997529
-21.0,806,932.101241
-20.0,1046,945.521989
-21.0,869,1009.189471
-21.0,939,1021.449414
-20.0,871,1032.718172
-21.0,762,1042.229473
-21.0,824,1052.617639
-20.0,898,1063.879333
-20.0,927,1075.600029
-21.0,941,1087.773633
-21.0,902,1099.461545
-21.0,790,1109.535038
-21.0,939,1121.524348
-21.0,940,1133.464458
-21.0,781,1143.313552
-20.0,955,1155.499176
-19.0,1006,1167.863243
-21.0,762,1177.680954
-20.0,919,1189.163648
-20.0,1000,1260.34281
-21.0,879,1271.848821
-21.0,792,1281.897779
-21.0,993,1294.362603
-21.0,934,1306.047328
-19.0,941,1317.845487
-19.0,975,1330.172162
-21.0,850,1340.998056
-21.0,885,1352.099821
-19.0,1025,1364.792632
-20.0,839,1375.526809
-20.0,958,1387.889199
-20.0,890,1399.104002
-21.0,817,1409.057254
-20.0,894,1420.167133
-18.0,1168,1434.90621
-21.0,880,1446.309523
-21.0,923,1516.727358
-17.0,1339,1534.058172
-20.0,925,1545.687766
-21.0,875,1557.00011
-20.0,870,1567.820584
-20.0,886,1578.817354
-18.0,1100,1592.327713
-20.0,897,1603.826216
-21.0,882,1615.132001
-20.0,1067,1628.844128
-19.0,1147,1642.901658
-21.0,1054,1656.513599
-20.0,1000,1668.854325
-20.0,1074,1682.858576
-19.0,969,1695.202241
-19.0,956,1707.115107
-21.0,779,1783.021332
-21.0,777,1792.894112
-18.0,1030,1806.636691
-21.0,849,1817.614535
-20.0,1106,1831.557087
-20.0,1048,1844.55813
-20.0,1002,1857.225862
-21.0,907,1867.902754
-20.0,1050,1880.390667
-21.0,884,1890.593209
-20.0,980,1902.133584
-21.0,964,1913.551987
-21.0,786,1922.40431
-20.0,948,1933.433396
-21.0,899,1944.035977
-20.0,959,1955.727768
-19.0,933,1967.277844
-20.0,1064,2051.1809
-20.0,901,2062.869232
-19.0,1163,2077.508685
-20.0,842,2087.692647
-19.0,1140,2101.209831
-21.0,984,2113.52839
-19.0,965,2125.482511
-19.0,1163,2140.178128
-20.0,927,2152.078195
-20.0,956,2163.802432
-20.0,905,2175.399732
-20.0,1050,2189.006043
-20.0,1111,2202.916295
-21.0,1103,2216.879514
-18.0,1109,2231.088003
-21.0,759,2307.885507
-20.0,1037,2321.242141
-19.0,1042,2334.479887
-20.0,992,2346.875749
-20.0,1021,2359.817221
-20.0,1089,2373.794447
-18.0,1200,2388.542694
-17.0,1173,2403.044355
-20.0,1039,2415.743015
-18.0,1164,2430.503134
-20.0,890,2441.638746
-21.0,840,2452.222199
-21.0,861,2463.62251
-20.0,1022,2476.91283
-19.0,1145,2491.569116
-19.0,965,2574.939998
-18.0,1159,2590.111644
-16.0,1358,2607.517399
-18.0,1119,2622.098606
-21.0,1058,2635.182045
