#{"t_start": 1572462715.7395504, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,789,229.734982
-21.0,849,482.286293
-20.0,891,731.835794
-21.0,872,981.538904
-20.0,958,1239.212838
-20.0,899,1496.037992
-20.0,926,1755.222604
-20.0,944,2009.975103
-21.0,900,2280.276375
-21.0,868,2540.424088
-18.0,1448,2837.917814
-20.0,1573,3114.560171
-19.0,1451,3410.141012
-14.0,2047,3749.395034
-17.0,1815,4039.720837
-16.0,2017,4382.772245
-1.0,3041,4778.096609
8.0,2126,5089.667424
7.0,2450,5456.186314
7.0,2398,5780.705873
