value_loss,explained_variance,nupdates,total_timesteps,fps,policy_entropy,ep_len_mean,ep_reward_mean
0.006404719315469265,-54.45560073852539,1,80,44,1.791754126548767,,
0.05856195092201233,-0.010829329490661621,100,8000,1070,1.791722059249878,,
0.08115663379430771,-0.14618098735809326,200,16000,1132,1.7915443181991577,875.9230769230769,-20.615384615384617
0.05495266243815422,0.029215633869171143,300,24000,1155,1.7916158437728882,908.875,-20.375
0.14065547287464142,-0.01045846939086914,400,32000,1159,1.7906280755996704,909.2666666666667,-20.333333333333332
0.004615177400410175,-0.07077765464782715,500,40000,1173,1.7876392602920532,908.5151515151515,-20.333333333333332
0.04468468576669693,-0.06966328620910645,600,48000,1170,1.7865440845489502,916.3478260869565,-20.32608695652174
0.05410958081483841,0.048062920570373535,700,56000,1180,1.7867352962493896,924.12,-20.26
0.13154886662960052,0.0192146897315979,800,64000,1181,1.7878239154815674,917.8870967741935,-20.29032258064516
0.011745965108275414,-2.5600087642669678,900,72000,1181,1.7819827795028687,918.4647887323944,-20.309859154929576
0.0731327086687088,0.06254750490188599,1000,80000,1193,1.7511600255966187,926.2784810126582,-20.265822784810126
0.056597404181957245,0.07779258489608765,1100,88000,1199,1.751304030418396,928.0,-20.25287356321839
0.01440545916557312,0.10619455575942993,1200,96000,1204,1.7557909488677979,929.1808510638298,-20.25531914893617
0.12064044177532196,0.12740015983581543,1300,104000,1205,1.7814470529556274,933.06,-20.24
0.05429752916097641,0.2712986469268799,1400,112000,1212,1.7795393466949463,934.84,-20.21
0.027169957756996155,0.2722631096839905,1500,120000,1210,1.7894138097763062,939.84,-20.15
0.024267207831144333,0.2202327847480774,1600,128000,1214,1.7804988622665405,940.69,-20.13
0.04537913203239441,0.13719481229782104,1700,136000,1214,1.7626488208770752,946.51,-20.1
0.023580387234687805,0.5356172919273376,1800,144000,1213,1.7636282444000244,937.4,-20.15
0.005969139747321606,0.5617985725402832,1900,152000,1213,1.780371904373169,935.28,-20.19
0.09648256003856659,0.39025014638900757,2000,160000,1214,1.7545894384384155,939.93,-20.15
0.06921948492527008,0.27379918098449707,2100,168000,1213,1.7247467041015625,939.48,-20.15
0.025957822799682617,0.5059539973735809,2200,176000,1213,1.6917006969451904,930.73,-20.22
0.37048792839050293,-0.5539685487747192,2300,184000,1209,1.724709153175354,928.47,-20.21
0.05528374761343002,0.4190126657485962,2400,192000,1209,1.7814632654190063,927.89,-20.22
0.08130181580781937,0.47938966751098633,2500,200000,1207,1.7689340114593506,928.5,-20.25
0.031200101599097252,0.7153321802616119,2600,208000,1207,1.779553771018982,924.3,-20.31
