timestamp,rapl_power_draw_absolute,rapl_estimated_attributable_power_draw,nvidia_draw_absolute,nvidia_estimated_attributable_power_draw,cpu_time_seconds,average_gpu_estimated_utilization_absolute,average_gpu_estimated_utilization_relative,average_relative_cpu_utilization,absolute_cpu_utilization,per_gpu_performance_state,relative_mem_usage,absolute_mem_usage,absolute_mem_percent_usage,hz_actual,realtime_carbon_intensity
1570684110.883786,93.52081235858421,5.197454431613867,129.79,65.86358208955222,7.79,0.408,0.5074626865671641,0.05841121494971221,0.9994005487037938,0::P0,0.039271669710233145,326107136,0.006408189228867019,2.6397 GHz,313.24810683169125
1570684121.443619,101.84893557595116,7.067311897370949,129.91,92.54262921348315,19.07,0.634,0.7123595505617978,0.05815831987274264,1.078340861908154,0::P0,0.12942585908435605,1324339200,0.021179551426147584,2.6587 GHz,313.24810683169125
1570684133.211572,101.46337666750787,7.854237085242114,125.24,80.49132584269663,31.759999999999998,0.5720000000000001,0.6426966292134831,0.0676691729285401,1.0796499986858652,0::P0,0.1291705174276288,1324371968,0.021180036541298762,2.4000 GHz,313.24810683169125
1570684144.664156,87.70357582047592,15.319584140812964,130.45,82.04773755656107,44.2,0.556,0.6289592760180995,0.1847428948808764,1.0883440664444108,0::P0,0.12943047596425622,1324380160,0.021180157820086556,1.2638 GHz,313.24810683169125
1570684155.133708,75.34823045978244,9.311230723694306,134.08,84.96755056179775,55.66,0.564,0.6337078651685393,0.12233445566574325,1.0885989728456666,0::P0,0.1294385341092173,1324380160,0.021180157820086556,2.4000 GHz,313.24810683169125
1570684166.547473,102.18411346002458,7.085766446302628,124.19,74.90825396825396,67.98,0.532,0.6031746031746031,0.05831533477169343,1.0784974224343136,0::P0,0.12942380956703967,1324380160,0.021180157820086556,1.3953 GHz,313.24810683169125
1570684176.958236,103.42648380307284,7.866365985249489,127.57,65.48454594888526,79.28,0.47200000000000003,0.5133224578575313,0.06646341463641092,1.0885627536964277,0::P0,0.12920482396536048,1324482560,0.021181673804933986,2.2998 GHz,313.24810683169125
1570684187.404555,101.32770548205065,10.326833713104506,132.85,82.02818791946308,90.6,0.552,0.6174496644295302,0.09686098655193966,1.0784923852333508,0::P0,0.12886573882355848,1324486656,0.021181734444327884,2.5101 GHz,313.24810683169125
1570684198.87461,71.4864302387154,11.460970279174171,131.75,71.51295045045045,103.13,0.48200000000000004,0.5427927927927928,0.16718749996594,1.0682936064793782,0::P0,0.1294212628175333,1324486656,0.021181734444327884,1.2004 GHz,313.24810683169125
1570684210.379676,69.888100815244,11.534994249277556,137.68,71.63081081081081,115.72999999999999,0.462,0.5202702702702703,0.17341977309771875,1.0685539665303392,0::P0,0.12922895074185953,1324486656,0.021181734444327884,1.2623 GHz,313.24810683169125
1570684220.866445,62.81315430188759,10.223142580168295,131.9,92.2106334841629,127.29,0.618,0.6990950226244343,0.17007874009262466,1.078382495290141,0::P0,0.12942871974664605,1324486656,0.021181734444327884,1.2494 GHz,313.24810683169125
1570684231.344191,72.58493695621365,12.363837663030749,138.82,83.68304225352112,138.79000000000002,0.535,0.6028169014084507,0.1798679868108409,1.0884368194855223,0::P0,0.129436705128255,1324486656,0.021181734444327884,2.2999 GHz,313.24810683169125
1570684241.813188,61.69359721941518,10.251543876820016,129.27,60.98742663656885,150.27,0.418,0.4717832957110609,0.17412140573111173,1.0891817000532251,0::P0,0.12943634308430074,1324494848,0.021181855723115678,1.2887 GHz,313.24810683169125
1570684253.403571,74.7621870658898,11.857695869994803,124.21,87.22929545454545,162.96,0.618,0.7022727272727273,0.16515151513753193,1.08835356167122,0::P0,0.12943020415422682,1324494848,0.021181855723115678,1.2337 GHz,313.24810683169125
1570684264.917129,72.36747357548751,10.067745412757912,130.38,88.79935135135135,175.57000000000002,0.63,0.6810810810810811,0.14119170983229531,1.0883548227208626,0::P0,0.12943737428983484,1324494848,0.021181855723115678,1.2999 GHz,313.24810683169125
1570684275.377007,98.36581749783977,7.10180929912007,121.82,62.97241534988713,186.89,0.45799999999999996,0.5169300225733634,0.06136363635844047,1.0785810476469055,0::P0,0.12944058791944418,1324494848,0.021181855723115678,2.4000 GHz,313.24810683169125
1570684285.789095,102.97103895520375,7.538413212421168,129.53,53.67265193370166,198.14,0.375,0.4143646408839779,0.06286721504277933,1.0684640469820441,0::P0,0.12943598336530557,1324494848,0.021181855723115678,2.3999 GHz,313.24810683169125
1570684297.230439,97.81750236121732,6.492169448080629,124.49,78.4034085778781,210.52,0.5579999999999999,0.6297968397291196,0.05435329642646895,1.0783946194936571,0::P0,0.1291354787859564,1324494848,0.021181855723115678,2.4000 GHz,313.24810683169125
1570684308.686941,112.62499893860226,6.196548736194758,130.29,80.31575342465753,222.91,0.54,0.6164383561643836,0.042902967121987524,1.06855455686183,0::P0,0.12889512664293007,1324494848,0.021181855723115678,2.6000 GHz,313.24810683169125
1570684320.145598,102.68479182119394,7.948778146293529,123.54,95.90241610738256,235.26,0.6940000000000001,0.7762863534675616,0.06776440785291125,1.0695544961566996,0::P0,0.12942619977539005,1324494848,0.021181855723115678,2.6040 GHz,313.24810683169125
1570684330.565714,100.87193340239382,7.431031479857841,136.73,93.9778028169014,246.59,0.61,0.6873239436619718,0.06315789473821751,1.0783717993415707,0::P0,0.12943003630103664,1324494848,0.021181855723115678,1.2887 GHz,313.24810683169125
1570684342.013931,101.45854708620472,6.931997952393699,136.83,84.1065137614679,258.96,0.536,0.6146788990825688,0.056975505853679526,1.0685504225674114,0::P0,0.12913793744042118,1324494848,0.021181855723115678,1.2710 GHz,310.04670982545275
