#{"t_start": 1572444356.6339746, "env_id": "PongNoFrameskip-v4"}
r,l,t
-18.0,2307,1349.942624
4.0,2875,2778.093417
20.0,1674,4131.571184
20.0,1660,5469.698377
19.0,1734,6816.703092
19.0,1755,8162.600934
21.0,1627,9502.983169
21.0,1634,10848.078992
21.0,1634,12187.122843
21.0,1632,13523.069518
21.0,1627,14865.857015
21.0,1626,16199.044324
21.0,1630,17539.638661
20.0,1724,18893.346997
21.0,1627,20233.470806
21.0,1630,21603.265243
21.0,1628,22941.674078
21.0,1632,24284.1734
21.0,1634,25624.483149
