#{"t_start": 1572444356.6878223, "env_id": "PongNoFrameskip-v4"}
r,l,t
-17.0,2314,1350.312719
4.0,3110,2789.876799
20.0,1671,4131.347154
20.0,1693,5471.627679
21.0,1691,6814.236179
21.0,1689,8159.088923
20.0,1745,9509.412313
21.0,1628,10847.460788
21.0,1627,12186.53669
21.0,1631,13522.962495
21.0,1630,14866.042641
19.0,1761,16205.600465
20.0,1692,17542.632042
21.0,1634,18888.854472
21.0,1631,20233.764049
21.0,1626,21602.924008
21.0,1628,22941.639883
21.0,1626,24283.66366
21.0,1627,25624.034137
