#{"t_start": 1572444357.2667344, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1871,1326.954171
9.0,2662,2766.97419
20.0,1669,4130.609488
20.0,1667,5469.468512
19.0,1735,6816.179055
19.0,1751,8161.753659
21.0,1631,9502.549113
21.0,1632,10847.272422
21.0,1630,12186.16803
21.0,1630,13522.331113
21.0,1629,14865.35788
21.0,1628,16198.552528
21.0,1628,17538.866174
20.0,1751,18894.070469
21.0,1633,20233.30562
21.0,1628,21602.501906
21.0,1626,22940.941074
21.0,1636,24283.848815
21.0,1635,25623.951534
