#{"t_start": 1572444357.2981288, "env_id": "PongNoFrameskip-v4"}
r,l,t
-18.0,2306,1349.213856
4.0,3114,2789.594981
20.0,1673,4130.850565
20.0,1696,5471.218341
20.0,1698,6814.084311
20.0,1768,8162.636895
20.0,1671,9504.829953
21.0,1629,10846.935123
21.0,1630,12186.144336
21.0,1630,13522.299782
21.0,1636,14865.876521
21.0,1631,16198.716367
21.0,1629,17538.923781
21.0,1629,18887.905835
21.0,1630,20233.079863
21.0,1633,21602.848971
21.0,1633,22941.371703
21.0,1632,24283.513334
21.0,1634,25623.858469
